Feature,Coefficient
num__National Award,-2.245216046362313
num__40-Yard Dash (seconds),0.6460626647031918
cat__Position_QB,-0.5050646330020973
cat__Position_OT,-0.4891219732563152
cat__Position_IOL,0.3394441092812467
cat__Conference_Pac-12,-0.3264814322927806
cat__Position_RB,0.3166798116628148
cat__Position Group_Special Teams,0.24462295828688682
num__Hand (inches),-0.23829633579897805
cat__Position_CB,-0.2343861278027159
num__Combine Participation,-0.21508765507422603
cat__Conference_Mountain West,0.18429857229009453
cat__Conference_Sun Belt,0.18330850863981946
cat__Conference_MAC,-0.16770777848915464
cat__Conference_Big Ten,-0.1658372449441438
cat__Conference_ACC,-0.16241620923845404
cat__Position Group_Secondary,-0.16177689487592586
cat__Position_C,0.15222837955478982
cat__Position_EDGE,-0.1443250351102066
cat__Conference_SEC,-0.1298728126259883
cat__Position_K,0.11807680325416044
cat__Position Group_DL,-0.10257442932391718
cat__Position_P,0.09936875295989173
cat__Conference_CAA,0.09707782134656136
cat__Position_LB,0.08137396678193014
cat__Position Group_LB,0.08137396678193014
num__3-Cone (seconds),0.07834357090695553
num__Vertical (inches),-0.07359930805230626
cat__Position_S,0.07260923292718906
cat__Conference_SWAC,0.07106754073868927
cat__Position Group_Skill,-0.06415870217849859
cat__Conference_Patriot League,0.060294359164245505
num__Efficiencies Overall,0.05797342400112739
cat__Position_WR,0.049212609177306674
cat__Conference_CIAA,0.043692109984280324
cat__Conference_MEAC,0.04228179520694393
cat__Position_DL,0.04175060578647497
cat__Conference_MVFC,0.04172396066303763
cat__Conference_Big Sky,0.03999202948155534
num__FPI,-0.038935649333084535
cat__Position_TE,0.037524191777811036
cat__Position_FB,0.03748931820684218
cat__Conference_GLIAC,0.037410438982848494
cat__Conference_NSIC,0.035640008218888304
cat__Conference_Big 12,0.03519615178031966
cat__Conference_SoCon,0.034780821009411454
cat__Conference_PSAC,0.03359904707952103
num__Efficiencies Offense,-0.031085269759190383
num__Efficiencies Defense,-0.030074344319497844
cat__Position_LS,0.027177402073745676
num__Broad Jump (inches),-0.022388301716758686
cat__Conference_Ivy League,-0.021874299701268796
cat__Conference_OVC-Big South,0.02153253361045339
cat__Conference_Southland,-0.019186459808716423
num__Height (inches),0.01894704266706199
cat__Conference_Conference USA,0.017393106289350424
num__Wingspan (inches),0.01714727240516232
num__Efficiencies SpecialTeams,-0.01688825294850548
num__Bench (reps),0.016485597491656078
cat__Conference_FBS Independent,0.01480259842781781
num__Weight(lbs),-0.014724389387870284
cat__Conference_AAC,-0.014469733274646996
num__CFP Appearance,-0.014234574862591047
cat__Conference_UAC,0.013791981731762612
num__Shuttle (seconds),-0.01348192631953729
num__Season,0.004266006694748428
cat__Position Group_OL,0.0025505155795124985
