Season,Player,Position,Position Group,Conference,Overall Pick,Actual Tier Number,Predicted Tier Number,Actual Tier,Predicted Tier,Correct,Ordinal Error,Prob Round 1,Prob Rounds 2-3,Prob Rounds 4-5,Prob Rounds 6-7,Prob Undrafted,Basic Prob Round 1,Basic Prob Rounds 2-3,Basic Prob Rounds 4-5,Basic Prob Rounds 6-7,Basic Prob Undrafted,Actual Target,Cumulative Targets Captured,Percent of Players Reviewed,Percent of Actual Targets Captured
2026,Harold Perkins Jr.,LB,LB,SEC,215,3,4,Rounds 6-7,Undrafted,Incorrect,1,0.005154512064313221,0.01857048380534703,0.044358421105062516,0.10096306863872424,0.830953514386553,0.06972912571138037,0.15985745501865375,0.18568564205661447,0.2686313224322468,0.3160964547811046,0,0,0.32573289902280134,0.0
2026,Joe Royer,TE,Skill,Big 12,170,3,4,Rounds 6-7,Undrafted,Incorrect,1,0.007015115137235912,0.02505768724604745,0.058517958240918336,0.12656251936912627,0.782846720006672,0.0716774482165911,0.16319635152124162,0.18761680178769777,0.2677884281680423,0.3097209703064272,0,0,0.6514657980456027,0.0
2026,Cade Klubnik,QB,Skill,ACC,110,2,4,Rounds 4-5,Undrafted,Incorrect,2,0.009455499682924444,0.03339844047144621,0.07577765006038104,0.15399371872414275,0.7273746910611056,0.12447297780285611,0.23664231607101283,0.2128157848041407,0.2301327684202361,0.19593615290175426,0,0,0.9771986970684038,0.0
2026,Vinny Anthony II,WR,Skill,Big Ten,300,4,4,Undrafted,Undrafted,Correct,0,0.01161076875874467,0.04060988000144121,0.0898815797134352,0.17354923398291455,0.6843485375434644,0.09689200133921548,0.20211424024095676,0.20509376406931473,0.2518093861760268,0.24409060817448625,1,1,1.3029315960912053,1.2048192771084338
2026,Brian Parker II,IOL,OL,ACC,189,3,4,Rounds 6-7,Undrafted,Incorrect,1,0.012277421691665163,0.0428116090824074,0.09404177661150215,0.17885148644449106,0.6720177061699342,0.04863642313243375,0.12028187378675101,0.1574014150708677,0.26974717612872284,0.4039331118812247,0,1,1.6286644951140066,1.2048192771084338
2026,Jalen Farmer,IOL,OL,SEC,113,2,4,Rounds 4-5,Undrafted,Incorrect,2,0.01278950818695716,0.04449370515190561,0.09717515896551862,0.18270895397743944,0.6628326737181791,0.05957282380298592,0.14160902897279748,0.17389701044418485,0.271376058157845,0.35354507862218676,0,1,1.9543973941368076,1.2048192771084338
2026,Scooby Williams,LB,LB,SEC,300,4,4,Undrafted,Undrafted,Correct,0,0.013323314382026514,0.04623873153314187,0.10038507044735763,0.18654102419415713,0.6535118594433169,0.10716113642250392,0.21587322202043463,0.2090647082855986,0.24390932055859094,0.22399161271287193,1,2,2.2801302931596092,2.4096385542168677
2026,Matt Gulbin,IOL,OL,Big Ten,209,3,4,Rounds 6-7,Undrafted,Incorrect,1,0.013631349086317099,0.04724181540151601,0.1022116126884196,0.18866810522425478,0.6482471175994925,0.06276483822422992,0.1475002014871587,0.17793285111029092,0.27085759606443505,0.3409445131138854,0,2,2.6058631921824107,2.4096385542168677
2026,Desmond Reid,RB,Skill,ACC,300,4,4,Undrafted,Undrafted,Correct,0,0.014560645808423194,0.05025083602792401,0.10761031198732714,0.19473113751773485,0.6328470686585908,0.05948435329121413,0.14144366008187853,0.17378051939814418,0.27138513606936054,0.3539063311594026,1,3,2.9315960912052117,3.614457831325301
2026,Emmanuel Henderson Jr.,WR,Skill,Big 12,199,3,4,Rounds 6-7,Undrafted,Incorrect,1,0.014728179833918593,0.05079057790877539,0.108566042563832,0.1957699360330006,0.6301452636604734,0.07330718096218752,0.1659506147111163,0.18915790202292046,0.2670215480615786,0.30456275424219714,0,3,3.257328990228013,3.614457831325301
