Season,Name,Position,Team,Conference,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns,index_combine,Season_combine,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Overall Pick,Combine Participation
2025,Haynes King,QB,Georgia Tech,ACC,0.321,0.354,0.323,0.16,0.308,0.648,0.256,0.463,157.981,116.264,52.037,31.77,51.499,75.136,86.644,71.336,178,2026,74.375,212,9,31.875,86.54,4.46,33.5,11,116,6.89,4.17,300,1
2025,Joe Fagnano,QB,UConn,Ind,0.476,0.476,0.474,0.237,0.531,0.695,0.367,0.649,183.301,168.141,15.16,37.418,61.069,70.245,86.63,96.67,179,2026,75.250,226,9.25,31.375,80.14,4.83,35,17,118,6.17,4.35,300,1
2025,Caullin Lacy,WR,Louisville,ACC,0.163,0.232,-0.196,-0.141,0.429,0.502,-0.064,0.564,13.98,16.717,-2.737,-6.068,9.007,11.042,-3.515,17.495,302,2026,69.125,183,9.875,29.375,70.67,4.55,33.5,29,116,6.35,4.56,300,1
2025,Carson Beck,QB,Miami,ACC,0.306,0.351,0.048,0.148,0.273,0.545,0.231,0.421,139.174,144.934,1.871,25.047,44.025,65.402,63.393,75.781,171,2026,76.750,233,10,30.625,75,4.55,68.29,14,147.56,9.47,6.22,65,1
2025,Taylen Green,QB,Arkansas,SEC,0.415,0.344,0.68,0.167,0.524,0.665,0.259,0.658,163.389,101.732,65.916,27.541,72.262,55.223,62.08,101.309,175,2026,77.875,227,9.875,34.75,79.41,4.36,43.5,18,134,6.1,5.42,182,1
2025,Chris Hilton Jr.,WR,LSU,SEC,-0.219,-0.219,0.789,0.15,1.886,-0.116,-0.661,0.885,-1.533,-1.533,0,0.6,1.886,-0.116,-3.304,1.77,311,2026,72.000,188,9.25,32,65.33,4.41,34.5,21,122,7.25,4.41,300,1
2025,Behren Morton,QB,Texas Tech,B12,0.273,0.316,-0.206,0.043,0.176,0.752,0.095,0.5,93.746,101.851,-4.115,5.76,18.462,69.952,18.26,75.486,172,2026,74.000,221,9.5,30.625,81.58,4.36,34.51,11,118.77,7.08,6.5,234,1
2025,Eli Stowers,TE,Vanderbilt,SEC,0.636,0.661,-1.191,0.112,0.7,1.214,0.401,0.936,46.392,47.582,-1.191,3.138,17.512,19.431,16.446,29.946,140,2026,75.750,239,9.625,32.625,79.75,4.51,45.5,21,135,6.94,3.76,54,1
2025,Matthew Hibner,TE,SMU,ACC,0.755,0.755,1.783,0.255,0.524,1.798,0.515,0.983,27.944,27.944,0,3.32,7.862,14.386,9.263,18.681,158,2026,76.250,251,9.375,32.375,73.37,4.57,37,28,116,7.22,6.9,133,1
2025,Noah Whittington,RB,Oregon,B1G,0.159,-0.055,0.207,0.256,-0.109,0.632,0.196,-0.023,21.789,-1.38,23.169,16.895,-5.561,10.741,22.308,-0.519,233,2026,68.000,205,8.25,29.125,87.87,4.56,45.95,24,133.3,7.32,4.91,300,1
2025,Sawyer Robertson,QB,Baylor,B12,0.25,0.252,0.583,0.099,0.394,0.374,0.118,0.467,120.172,114.181,14.586,20.43,57.164,37.065,35.148,85.024,173,2026,75.750,216,9.375,32.125,67.75,4.65,37.5,15,123,7.45,4.46,300,1
2025,Joe Royer,TE,Cincinnati,B12,0.732,0.732,0.45,0.176,0.996,1.449,0.303,1.848,26.363,26.363,0,2.814,11.958,11.591,7.883,18.479,148,2026,77.000,247,10.75,31.5,72.02,5.28,24.18,21,109.93,7.14,6.07,170,0
2025,Lake McRee,TE,USC,B1G,0.557,0.557,0.581,0.985,0.225,1.049,0.506,0.672,25.609,25.609,0,16.752,4.734,5.245,16.197,9.412,160,2026,76.000,243,9.25,31.5,81.24,4.64,34.42,22,101.85,7.06,4.07,300,1
2025,Garrett Nussmeier,QB,LSU,SEC,0.208,0.195,0.463,0.128,0.166,0.361,0.096,0.355,62.099,55.615,6.484,14.931,17.238,26.745,16.25,45.848,168,2026,74.000,203,9.125,30.375,77.62,7.34,48.63,10,116.28,7.34,4.45,249,1
2025,Michael Trigg,TE,Baylor,B12,0.405,0.405,0.132,0.127,0.845,0.469,0.273,0.607,32.796,32.796,0,3.812,21.123,9.374,13.378,19.417,139,2026,75.750,240,10.5,34.25,84.375,4.45,26.14,30,114.27,7.11,4.86,300,0
2025,Donaven McCulley,WR,Michigan,B1G,0.525,0.555,-0.464,0.211,0.654,0.851,0.372,0.703,36.255,37.182,-0.928,5.283,17,14.467,13.759,22.496,307,2026,76.500,203,10.25,32.625,68.68,4.53,36.48,25,132.25,6.8,3.9,300,0
2025,Jalon Daniels,QB,Kansas,B12,0.354,0.376,0.333,0.217,0.312,0.523,0.349,0.364,129.376,106.149,27.314,32.26,37.778,42.897,82.764,46.611,176,2026,72.625,219,9.625,30.375,67.58,4.65,54.01,9,143.07,9.69,5.74,300,1
2025,Luke Altmyer,QB,Illinois,B1G,0.402,0.4,0.426,0.228,0.637,0.528,0.273,0.602,152.828,130.25,22.577,35.264,77.772,48.535,63.131,89.698,174,2026,73.750,210,9,29.875,78.04,4.72,32,12,114,9.31,4.35,300,1
2025,Eric McAlister,WR,TCU,B12,0.724,0.724,1.084,0.192,0.895,1.65,0.348,1.49,63.736,63.736,0,8.82,19.694,31.342,20.537,43.198,277,2026,76.000,194,9.625,32.625,81.53,4.6,42.2,25,122.71,6.58,4.32,300,0
2025,C.J. Daniels,WR,Miami,ACC,0.728,0.728,0.153,0.621,0.648,0.992,0.693,0.784,41.503,41.503,0,13.664,12.962,14.877,24.253,17.25,298,2026,74.000,202,9.25,31.75,82.56,4.26,37.8,21,127.32,7.24,4.31,197,0
2025,J.Michael Sturdivant,WR,Florida,SEC,0.564,0.59,-0.587,0.377,-0.003,1.38,0.475,0.697,25.361,25.949,-0.587,7.909,-0.033,12.417,12.812,12.549,295,2026,74.875,207,9.5,32.875,76.36,4.4,39,17,131,7.15,4.01,300,1
2025,Malachi Fields,WR,Notre Dame,Ind,0.465,0.465,-0.182,0.435,-0.127,1.031,0.31,0.757,25.559,25.559,0,11.742,-1.645,15.462,11.177,14.382,276,2026,76.500,218,9,32.125,79,4.61,38,25,124,6.98,4.35,74,1
2025,Deion Burks,WR,Oklahoma,SEC,0.254,0.325,-0.681,0.009,0.255,1.186,0.058,0.699,21.622,25.708,-4.086,0.332,9.429,11.861,3.442,18.18,291,2026,69.750,180,9.5,29.375,72.75,4.3,42.5,26,131,6.67,3.91,254,1
2025,Skyler Bell,WR,UConn,Ind,0.568,0.589,-0.751,0.281,0.622,0.8,0.42,0.825,71.562,73.063,-1.501,15.435,25.519,21.61,33.627,37.934,285,2026,71.625,192,10,31.125,74.09,4.4,41,29,133,7.37,4.64,125,1
2025,Kaytron Allen,RB,Penn State,B1G,0.194,0.066,0.205,0.329,-0.105,0.466,0.209,0.115,42.068,1.184,40.885,34.534,-8.092,14.897,37.914,4.155,215,2026,71.000,216,9.5,29.5,80.74,4.34,43.16,17,131.51,7.32,4.17,187,0
2025,Germie Bernard,WR,Alabama,SEC,0.558,0.561,0.545,0.413,0.613,0.797,0.469,0.721,66.445,57.173,9.272,17.78,23.283,26.3,36.142,30.303,272,2026,73.250,206,9.875,30.375,75.81,4.45,32.5,26,125,6.71,4.31,47,1
2025,Kevin Coleman Jr.,WR,Missouri,SEC,0.438,0.493,-0.138,0.201,0.572,0.612,0.258,0.714,35.487,36.456,-0.968,6.831,12.009,14.076,12.646,22.841,281,2026,70.250,179,9.5,30,73.51,4.49,38.5,15,126,8.44,4.37,177,1
2025,Emmanuel Henderson Jr.,WR,Kansas,B12,0.557,0.597,-0.088,0.94,0.216,0.503,0.754,0.164,38.459,38.812,-0.353,25.368,6.043,7.048,34.677,3.783,309,2026,72.875,185,8.375,31,72.82,4.44,35,20,120,7.56,4.41,199,1
2025,Jordan Hudson,WR,SMU,ACC,0.636,0.639,0.38,0.74,0.432,0.563,0.529,0.801,47.027,46.647,0.38,23.67,9.511,10.693,23.809,23.218,306,2026,73.000,191,9.25,31.125,85.6,4.46,41.4,20,136.73,6.54,4.62,300,0
2025,Cade Klubnik,QB,Clemson,ACC,0.215,0.239,0.134,0.164,0.161,0.266,0.254,0.14,98.843,94.323,8.554,30.239,24.514,27.683,76.69,22.153,169,2026,74.000,207,9.25,31.125,77.75,9.1,44.48,9,153.16,13.38,5.53,110,1
2025,Kendrick Law,WR,Kentucky,SEC,0.322,0.32,0.337,0.225,0.234,0.484,0.402,0.157,19.613,17.257,2.356,5.393,5.387,5.321,16.471,3.142,296,2026,71.375,203,9.625,31.125,78.04,4.45,42,21,128,7.47,4.07,168,1
2025,Le'Veon Moss,RB,Texas A&M,SEC,0.119,-0.596,0.164,-0.038,0.062,1.319,0.143,-0.016,9.982,-2.979,12.961,-2.005,1.434,10.552,10.185,-0.203,223,2026,71.000,203,9.5,31,77.55,4.52,48.81,29,156.53,7.32,4.42,300,0
2025,Jamarion Miller,RB,Alabama,SEC,-0.048,0.203,-0.097,-0.16,-0.016,0.24,-0.081,0.123,-7.402,5.065,-12.467,-13.145,-0.88,3.118,-10.471,3.069,224,2026,70.250,209,8.75,30.375,79.42,4.42,30.5,23,115,7.32,4.3,245,1
2025,Sam Roush,TE,Stanford,ACC,0.347,0.347,0.718,0.198,0.216,0.893,0.301,0.413,20.152,20.152,0,5.545,3.894,10.714,10.232,9.921,152,2026,78.000,267,10,30.625,76.375,4.7,38.5,25,126,7.08,4.37,69,1
2025,Jadarian Price,RB,Notre Dame,Ind,0.262,1.316,0.197,0.218,0.205,0.443,0.174,0.57,27.244,7.897,19.347,11.763,6.545,7.535,14.124,13.121,214,2026,70.625,203,9.625,30.875,76.5,4.49,35,21,124,7.32,4.34,32,1
2025,Ty Simpson,QB,Alabama,SEC,0.328,0.337,0.331,0.147,0.335,0.462,0.246,0.454,179.876,163.95,19.831,29.25,58.958,67.876,81.735,98.141,166,2026,73.125,211,9.375,30.875,76.5,10.82,64.95,12,156.6,9.01,4.04,13,1
2025,Adam Randall,RB,Clemson,ACC,0.111,0.139,0.103,0.051,0.095,0.398,0.121,0.073,23.18,6.666,16.514,5.541,6.302,12.334,20.037,3.143,231,2026,75.375,232,9.625,32.375,85.96,4.5,37,26,124,7.32,4.53,174,1
