Season,Name,Position,Team,Conference,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns,Overall Pick,Combine Participation
2023,Will Rogers,QB,Mississippi State,SEC,0.259,0.269,0.125,-0.155,0.537,0.519,0.067,0.501,63.807,61.804,2.003,-13.191,42.985,36.857,9.176,54.631,300,0
2023,Trey Sanders,RB,TCU,B12,0.141,-0.115,0.182,-0.03,-0.046,0.796,0.219,-0.162,6.209,-0.691,6.9,-0.472,-0.922,4.775,7.67,-1.461,300,0
2023,John Adams,WR,Temple,AAC,1.048,1.051,0.992,1.237,0.804,1.239,1.101,0.959,16.762,15.77,0.992,6.183,5.625,4.954,11.006,5.756,300,0
2023,Tyler Green,RB,Dartmouth,Ivy,-0.063,-0.083,-0.063,-0.063,-0.214,-0.178,-0.063,0.119,-0.126,0,-0.126,-0.126,0,0,-0.126,0,300,0
2023,Malik Jackson,TE,Towson,CAA,-0.107,-0.107,0.161,-0.159,-0.796,-0.056,-0.159,-0.056,-0.215,-0.215,0,-0.159,0,-0.056,-0.159,-0.056,300,0
2023,Cam McCormick,TE,Miami,ACC,0.216,0.216,-0.091,-0.326,0.714,0.242,-0.326,0.419,2.376,2.376,0,-0.978,2.142,1.212,-0.978,3.354,300,0
2023,Tyler Vander Waal,QB,Northwestern State,Southland,0.048,-0.035,0.487,0.045,-0.065,0.18,0.043,0.056,5.762,-3.5,9.262,2.043,-2.392,5.935,3.202,2.56,300,0
2023,Beau Corrales,WR,Texas State,SBC,0.692,0.692,0.346,-0.02,1.404,0.811,-0.02,1.404,2.768,2.768,0,-0.04,2.808,0,-0.04,2.808,300,0
2023,Chris Autman-Bell,WR,Minnesota,Big Ten,1.274,1.274,0.704,1.257,0.428,2.186,1.257,1.307,7.642,7.642,0,5.028,0.428,2.186,5.028,2.614,300,0
2023,Harry Van Dyne,WR,Indiana State,MVFC,1.148,1.148,0.317,1.068,0.894,1.387,1.05,1.237,50.503,50.503,0,17.096,9.832,23.575,22.045,28.458,300,0
