Position,Drafted,Undrafted,Difference
DL,4.977045454545455,5.153076923076923,0.1760314685314679
IOL,5.11171875,5.263333333333334,0.151614583333334
SAF,4.401764705882353,4.532,0.13023529411764745
OT,5.082804878048781,5.189047619047619,0.10624274099883824
EDGE,4.6715,4.77325,0.10175000000000001
WR,4.449603174603174,4.515178571428572,0.06557539682539737
S,4.493611111111111,4.558999999999999,0.06538888888888827
LB,4.563424657534246,4.615454545454545,0.05202988792029917
RB,4.489315068493151,4.5255882352941175,0.03627316680096637
CB,4.45515625,4.489230769230769,0.034074519230768985
TE,4.72016393442623,4.700434782608696,-0.01972915181753443
C,5.154166666666667,5.092222222222222,-0.06194444444444436
QB,5.093181818181818,4.715000000000001,-0.37818181818181706
