,Mean,Median,Std Dev,Minimum,Maximum
Height (inches),74.254,74.375,3.173,65.0,134.75
Weight(lbs),242.334,231.0,48.205,154.0,374.0
Hand (inches),9.534,9.5,0.588,7.625,11.625
Wingspan (inches),77.948,78.03,4.335,54.68,106.55
40-Yard Dash (seconds),4.717,4.6,0.436,3.94,10.82
Vertical (inches),34.399,34.5,5.062,20.5,68.29
Bench (reps),22.139,21.0,8.308,8.0,82.0
Broad Jump (inches),118.866,120.0,10.571,88.27,188.24
3-Cone (seconds),7.332,7.17,1.039,4.6,22.54
Shuttle (seconds),4.48,4.43,0.43,2.81,7.96
Combine Participation,0.794,1.0,0.405,0.0,1.0
FPI,12.018,11.42,9.594,-19.353,31.487
Efficiencies Overall,69.413,70.238,15.613,17.077,95.162
Efficiencies Offense,65.048,66.931,16.948,15.074,97.503
Efficiencies Defense,66.298,67.958,15.849,10.816,96.349
Efficiencies SpecialTeams,51.451,51.018,10.196,24.638,79.756
CFP Appearance,0.211,0.0,0.409,0.0,1.0
National Award,0.108,0.0,0.31,0.0,1.0
Overall Pick,169.478,163.0,100.957,1.0,300.0
