Conference,Total_Players,Drafted_Players,Round1_Players,Undrafted_Players,Draft_Rate_%,Round1_Rate_%
OVC-Big South,1,1,0,0,100.0,0.0
Ivy League,2,2,0,0,100.0,0.0
UAC,2,2,0,0,100.0,0.0
Southland,1,1,0,0,100.0,0.0
Pac-12,85,67,11,18,78.82,12.94
FBS Independent,36,28,3,8,77.78,8.33
Big Ten,284,220,35,64,77.46,12.32
ACC,190,142,16,48,74.74,8.42
SEC,374,275,42,99,73.53,11.23
Big 12,166,117,17,49,70.48,10.24
MAC,16,11,1,5,68.75,6.25
MVFC,10,6,1,4,60.0,10.0
AAC,32,19,0,13,59.38,0.0
Sun Belt,21,12,0,9,57.14,0.0
Big Sky,2,1,0,1,50.0,0.0
Patriot League,2,1,0,1,50.0,0.0
Mountain West,24,12,2,12,50.0,8.33
Conference USA,10,5,0,5,50.0,0.0
CAA,5,2,0,3,40.0,0.0
SWAC,3,1,0,2,33.33,0.0
GLIAC,1,0,0,1,0.0,0.0
CIAA,1,0,0,1,0.0,0.0
PSAC,1,0,0,1,0.0,0.0
NSIC,1,0,0,1,0.0,0.0
MEAC,1,0,0,1,0.0,0.0
SoCon,1,0,0,1,0.0,0.0
