Position,Total_Players,Drafted_Players,Round1_Players,Undrafted_Players,Draft_Rate_%,Round1_Rate_%
OT,103,82,26,21,79.61,25.24
S,46,36,1,10,78.26,2.17
SAF,22,17,2,5,77.27,9.09
DL,114,88,13,26,77.19,11.4
CB,167,128,13,39,76.65,7.78
QB,58,44,13,14,75.86,22.41
C,33,24,1,9,72.73,3.03
TE,84,61,5,23,72.62,5.95
EDGE,140,100,21,40,71.43,15.0
IOL,91,64,4,27,70.33,4.4
WR,182,126,19,56,69.23,10.44
LB,106,73,4,33,68.87,3.77
RB,107,73,6,34,68.22,5.61
K,10,6,0,4,60.0,0.0
P,7,3,0,4,42.86,0.0
LS,1,0,0,1,0.0,0.0
FB,1,0,0,1,0.0,0.0
