Conference,Drafted,Undrafted,Total,Draft Rate %
OVC-Big South,1,0,1,100.0
Ivy League,2,0,2,100.0
UAC,2,0,2,100.0
Southland,1,0,1,100.0
Pac-12,67,18,85,78.82
FBS Independent,28,8,36,77.78
Big Ten,220,64,284,77.46
ACC,142,48,190,74.74
SEC,275,99,374,73.53
Big 12,117,49,166,70.48
MAC,11,5,16,68.75
MVFC,6,4,10,60.0
AAC,19,13,32,59.38
Sun Belt,12,9,21,57.14
Big Sky,1,1,2,50.0
Patriot League,1,1,2,50.0
Mountain West,12,12,24,50.0
Conference USA,5,5,10,50.0
CAA,2,3,5,40.0
SWAC,1,2,3,33.33
GLIAC,0,1,1,0.0
CIAA,0,1,1,0.0
PSAC,0,1,1,0.0
NSIC,0,1,1,0.0
MEAC,0,1,1,0.0
SoCon,0,1,1,0.0
