Position,Height (inches),Weight(lbs),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),FPI,Efficiencies Overall,CFP Appearance,National Award
C,0.11284722222222854,3.138888888888914,0.06194444444444347,0.49305555555555713,-1.652777777777775,1.25,-0.012222222222221468,-0.33152777777777853,-5.820847222222222,-8.163624999999982,0.09722222222222224,0.08333333333333333
CB,-0.3969290865384636,-1.7483974358974308,-0.03407451923076987,1.0935877403846064,-0.8485576923076916,2.753449519230756,-0.037087339743589354,-0.05251201923076998,2.3960604967948687,4.219203926282077,0.06931089743589744,0.125
DL,0.2377972027971964,-5.111888111888106,-0.1760314685314679,0.9138548951048939,0.6136363636363633,2.361748251748253,0.18770104895104733,-0.11041083916084027,3.2379676573426597,5.43881993006994,0.14860139860139857,0.14772727272727273
EDGE,-0.3731999999999971,-0.37000000000000455,-0.10174999999999912,1.315649999999998,0.4499999999999993,1.5631500000000216,-0.015799999999999592,-0.029849999999998822,6.926090000000001,11.621279999999999,0.16499999999999998,0.19
IOL,-0.1096093749999909,-3.3917824074073906,-0.1516145833333331,1.2423437499999999,4.068287037037038,1.8824768518518482,-0.0444328703703718,-0.060063657407407156,1.1271701388888875,1.2037771990740822,-0.00347222222222221,0.09375
LB,-1.6452200083022035,3.750103777501039,-0.05202988792029828,1.1018887505188957,0.34952262349522556,2.6768078040680905,0.003827314238272095,-0.02137401411374018,3.4758825238688242,5.3454479036944775,0.028642590286425906,0.0518887505188875
OT,-0.440421022067369,2.801974448315889,-0.10624274099883912,1.461248548199766,-1.9965156794425098,3.6685365853658567,0.08060975609756227,-0.07786295005807098,6.114842044134726,9.020153890824623,0.13530778164924506,0.18292682926829268
QB,0.6967532467532465,2.237012987013003,0.3781818181818206,-0.2731818181818113,3.10064935064935,-0.70590909090906,-0.16490259740259638,0.12337662337662181,8.081061688311689,10.968172077922098,0.20129870129870128,0.25
RB,0.3955338436744569,2.9395648670427192,-0.03627316680096637,0.6425141015310203,0.35092667203867833,0.7862651087832546,-0.002643029814664466,0.06509669621273151,0.7232828364222392,0.46546051571314706,-0.04552780016116037,0.0781627719580983
S,-0.3270833333333343,1.8722222222222342,-0.06538888888888827,1.5333888888888865,0.81111111111111,-2.833333333333343,0.036777777777776244,-0.0848333333333331,1.7875611111111116,2.8018333333333345,0.09444444444444444,0.1111111111111111
SAF,0.9582352941176424,0.5058823529411995,-0.13023529411764834,-0.2362352941176482,-3.117647058823529,-0.4529411764706168,0.0,-0.2214117647058833,-2.445529411764703,-2.573670588235288,0.09411764705882353,0.11764705882352941
TE,0.2031860299358499,0.47612259444048277,0.01972915181753443,1.4706771204561662,0.38774055595153456,2.728403421240202,-0.0731575196008567,0.31914468995010736,6.856794725588024,11.287635780470431,0.14825374198146826,0.09836065573770492
WR,-0.6763095238095502,-2.4345238095238244,-0.06557539682539737,0.9075992063492109,0.20436507936507908,1.9318849206349142,-0.01519841269841482,-0.08482142857142794,0.9764603174603188,1.2712579365079506,0.037698412698412676,0.13095238095238093
