,Drafted,Undrafted,Difference
Efficiencies Defense,67.63,62.747,4.882
Efficiencies Overall,70.69,66.01,4.681
Efficiencies Offense,65.882,62.823,3.059
FPI,12.846,9.81,3.035
Weight(lbs),243.117,240.248,2.869
Broad Jump (inches),119.277,117.771,1.506
Vertical (inches),34.637,33.764,0.873
Efficiencies SpecialTeams,51.608,51.031,0.577
Bench (reps),22.236,21.882,0.354
National Award,0.143,0.014,0.128
Height (inches),74.222,74.339,-0.117
CFP Appearance,0.234,0.153,0.081
Hand (inches),9.552,9.485,0.067
Combine Participation,0.808,0.758,0.05
3-Cone (seconds),7.345,7.298,0.047
40-Yard Dash (seconds),4.707,4.742,-0.035
Wingspan (inches),77.952,77.939,0.013
Shuttle (seconds),4.478,4.486,-0.008
