,Drafted,Undrafted,Difference
Height (inches),74.222,74.339,-0.117
Weight(lbs),243.117,240.248,2.869
Hand (inches),9.552,9.485,0.067
Wingspan (inches),77.952,77.939,0.013
40-Yard Dash (seconds),4.707,4.742,-0.035
Vertical (inches),34.637,33.764,0.873
Bench (reps),22.236,21.882,0.354
Broad Jump (inches),119.277,117.771,1.506
3-Cone (seconds),7.345,7.298,0.047
Shuttle (seconds),4.478,4.486,-0.008
Combine Participation,0.808,0.758,0.05
FPI,12.846,9.81,3.035
Efficiencies Overall,70.69,66.01,4.681
Efficiencies Offense,65.882,62.823,3.059
Efficiencies Defense,67.63,62.747,4.882
Efficiencies SpecialTeams,51.608,51.031,0.577
CFP Appearance,0.234,0.153,0.081
National Award,0.143,0.014,0.128
