Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2025,WR,Skill,Ole Miss,SEC,74.375,205,9.5,31.75,78.25,4.54,38.5,15,125.0,6.93,4.05,1,2007,20.608,84.235,76.596,81.866,47.73,5.3181,1,1,Round 2,1,0.24775347847726586,1,0.4132231404958678,4.166666666666666
2023,CB,Secondary,Alabama,SEC,71.625,190,9.5,30.75,78.125,4.58,34.5,14,125.0,6.51,4.3,1,2181,27.296,89.526,85.539,81.093,61.676,5.366,1,1,Round 2,1,0.2277985026808963,2,0.8264462809917356,8.333333333333332
2025,S,Secondary,South Carolina,SEC,75.125,220,9.0,32.5,78.25,4.38,43.0,20,138.0,7.3,4.69,1,1810,14.834,76.206,60.762,80.864,51.02,5.4116,0,0,Round 2,1,0.22085044003449258,3,1.2396694214876034,12.5
2025,CB,Secondary,Ole Miss,SEC,72.75,195,9.0,31.25,77.75,4.43,32.5,13,126.0,8.19,4.97,1,2007,20.608,84.235,76.596,81.866,47.73,5.2883,1,0,Round 2,1,0.22020199319938183,4,1.6528925619834711,16.666666666666664
2024,CB,Secondary,Michigan,Big Ten,69.375,182,8.5,30.875,74.5,4.47,40.0,14,131.0,6.99,4.01,1,2210,27.625,94.395,88.226,91.352,54.858,5.3423,0,0,Round 2,1,0.21914258193922045,5,2.066115702479339,20.833333333333336
2025,CB,Secondary,Colorado,Big 12,72.375,188,9.125,31.375,76.875,4.43,43.0,12,105.0,8.19,4.94,0,1701,12.691,74.938,72.644,69.84,45.06,5.5491,0,1,Round 1,0,0.21890082388597268,5,2.479338842975207,20.833333333333336
2024,DL,DL,Illinois,Big Ten,73.625,304,9.5,32.375,75.875,5.01,29.5,27,108.0,8.01,4.79,0,1504,0.543,45.217,52.138,44.335,38.615,5.4072,0,1,Round 2,1,0.21745632430007159,6,2.8925619834710745,25.0
2024,DL,DL,Texas,Big 12,76.5,366,10.125,33.25,81.25,5.27,26.0,27,98.0,8.74,5.46,1,2025,23.196,86.583,76.615,83.977,60.972,5.3982,1,1,Round 2,1,0.21346699890533802,7,3.3057851239669422,29.166666666666668
2024,OT,OL,Oregon St.,Pac-12,77.75,324,10.125,33.125,80.625,5.13,32.0,30,111.0,7.81,4.63,1,1722,13.996,79.392,79.074,67.781,54.727,5.5013,0,1,Round 1,0,0.20952191348769197,7,3.71900826446281,29.166666666666668
2023,LB,LB,Iowa,Big Ten,76.625,249,10.25,31.875,78.25,4.65,37.5,29,128.0,6.74,4.24,1,1748,7.409,67.111,21.369,88.288,70.495,5.4848,0,1,Round 1,0,0.20863977405441997,7,4.132231404958678,29.166666666666668
2025,TE,Skill,LSU,SEC,77.125,251,10.0,33.25,78.75,4.28,24.5,33,110.7,6.65,4.97,0,1827,13.515,71.849,75.763,61.497,39.011,5.3799,0,0,Round 2,1,0.20757528319971877,8,4.545454545454546,33.33333333333333
2024,OT,OL,Arizona,Pac-12,77.0,311,10.875,32.875,81.375,5.04,28.0,27,110.0,8.02,4.72,1,1822,11.44,73.172,77.614,56.651,58.122,5.4553,0,0,Round 1,0,0.19992507773238008,8,4.958677685950414,33.33333333333333
2023,TE,Skill,Utah,Pac-12,76.0,246,10.25,32.625,78.375,4.67,35.0,21,120.0,7.37,4.3,0,1915,19.146,79.905,74.866,74.068,53.378,5.4553,0,0,Round 1,0,0.19832282904279916,8,5.371900826446281,33.33333333333333
2024,S,Secondary,Minnesota,Big Ten,73.25,199,9.0,32.0,77.5,4.52,37.0,14,124.0,7.01,4.98,0,1488,-0.564,45.156,45.237,46.429,51.196,5.3566,0,1,Round 2,1,0.19625505590191625,9,5.785123966942149,37.5
2023,RB,Skill,Texas,Big 12,71.0,215,9.75,31.125,74.75,4.46,37.0,20,124.0,6.77,4.26,1,1900,19.379,79.1,73.758,70.57,66.449,5.5255,1,1,Round 1,0,0.19455351164066742,9,6.198347107438017,37.5
2023,EDGE,DL,Auburn,SEC,74.75,254,10.0,34.5,82.625,4.55,33.5,23,127.0,7.22,4.45,1,1596,6.205,55.022,47.067,62.103,45.36,5.4027,0,0,Round 2,1,0.1901557540411257,10,6.6115702479338845,41.66666666666667
2023,OT,OL,Syracuse,ACC,77.0,318,9.5,33.75,81.875,5.21,30.5,20,103.0,7.61,4.68,1,1464,5.084,59.708,56.419,61.005,44.497,5.3982,0,0,Round 2,1,0.18936736701951878,11,7.024793388429752,45.83333333333333
2024,DL,DL,Ohio St.,Big Ten,74.75,290,10.0,33.5,81.125,4.97,31.0,27,111.0,7.65,4.61,0,2065,27.485,89.569,83.397,86.658,44.2,5.323,1,0,Round 2,1,0.18778364139810616,12,7.43801652892562,50.0
