Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2023,WR,Skill,BYU,FBS Independent,74.0,201,9.5,32.125,74.875,4.5,36.5,17,126.0,6.94,4.29,0,1526,0.819,50.481,70.378,34.793,40.904,4.4067,0,0,Round 6-7,1,0.3202707602596781,1,0.4132231404958678,2.564102564102564
2024,WR,Skill,Virginia,ACC,68.5,191,9.25,30.375,72.875,4.47,42.5,19,126.0,6.87,4.16,1,1216,-5.286,44.701,44.034,50.919,40.077,4.3175,0,0,Round 6-7,1,0.3078639801032768,2,0.8264462809917356,5.128205128205128
2023,RB,Skill,Northwestern,Big Ten,70.125,209,9.25,30.625,74.375,4.47,37.0,20,123.0,6.9,4.38,1,1257,-7.588,30.34,26.742,42.636,51.301,4.4188,0,0,Round 6-7,1,0.3005533857515947,3,1.2396694214876034,7.6923076923076925
2023,RB,Skill,Alabama-Birmingham,Conference USA,70.0,209,9.5,30.625,73.125,4.5,35.0,20,121.0,7.04,4.51,0,1515,0.176,50.057,50.562,50.551,46.781,3.6109,0,0,Round 6-7,1,0.29776249720874126,4,1.6528925619834711,10.256410256410255
2025,TE,Skill,Pittsburgh,ACC,76.625,246,9.75,31.375,78.375,4.7,24.5,33,115.5,8.19,4.97,1,1456,3.991,55.816,49.345,57.768,56.475,4.0431,0,0,Round 6-7,1,0.29246356155184416,5,2.066115702479339,12.82051282051282
2024,WR,Skill,Tulane,AAC,69.125,188,8.875,30.875,74.875,4.42,32.0,12,118.0,6.9,4.2,1,1598,3.05,60.759,46.835,66.943,59.144,4.3438,0,0,Round 6-7,1,0.2907932744023262,6,2.479338842975207,15.384615384615385
2023,WR,Skill,Princeton,Ivy League,75.125,205,8.75,32.0,76.75,4.43,39.0,19,128.0,6.85,4.12,1,1689,10.576,67.566,66.994,61.909,53.743,3.9703,0,0,Round 6-7,1,0.2903064677173959,7,2.8925619834710745,17.94871794871795
2023,TE,Skill,Miami,ACC,76.5,239,9.375,32.25,78.125,4.54,36.5,20,121.0,7.25,4.33,1,1316,-0.466,39.09,36.049,46.919,51.41,4.5747,0,0,Round 6-7,1,0.29009343448208963,8,3.3057851239669422,20.51282051282051
2024,CB,Secondary,Wake Forest,ACC,71.875,199,8.25,31.375,75.625,4.51,38.5,15,126.0,6.94,4.0,0,1397,-1.563,44.613,38.193,52.655,52.027,4.4427,0,0,Round 6-7,1,0.2876869438580458,9,3.71900826446281,23.076923076923077
2023,RB,Skill,Mississippi,SEC,71.0,202,10.25,31.625,73.25,4.47,36.0,20,122.0,7.14,4.6,0,1634,12.342,68.271,72.487,57.125,45.454,3.7842,0,0,Round 6-7,1,0.27645509190418777,10,4.132231404958678,25.64102564102564
2023,RB,Skill,Oklahoma,Big 12,69.5,207,9.75,29.625,71.375,4.5,37.5,20,118.0,7.06,4.52,1,1662,9.969,66.271,71.907,54.872,48.16,4.4659,0,0,Round 6-7,1,0.2706673118871058,11,4.545454545454546,28.205128205128204
2025,CB,Secondary,Rutgers,Big Ten,71.0,175,8.5,31.5,76.5,4.39,33.87,11,134.0,6.65,4.03,1,1533,3.857,55.405,64.09,40.753,58.771,3.8501,0,0,Round 6-7,1,0.26380660728853145,12,4.958677685950414,30.76923076923077
2024,C,OL,North Carolina St.,ACC,75.375,299,9.375,31.75,75.125,5.1,33.0,29,115.0,7.26,4.33,1,1660,6.943,65.952,47.142,75.741,57.991,4.2341,0,0,Round 6-7,1,0.2604152345557741,13,5.371900826446281,33.33333333333333
2025,C,OL,USC,Big Ten,76.125,302,9.25,30.125,77.0,4.84,32.0,33,112.0,7.56,4.03,0,1765,13.269,71.782,72.12,62.422,51.818,3.6376,0,0,Round 6-7,1,0.2590145681081651,14,5.785123966942149,35.8974358974359
2024,QB,Skill,Kentucky,SEC,73.25,215,9.5,30.875,74.375,4.78,32.0,18,112.0,7.07,4.29,0,1641,7.33,63.962,60.477,61.626,52.112,3.7136,0,0,Round 6-7,1,0.2580227398624777,15,6.198347107438017,38.46153846153847
2025,LB,LB,Minnesota,Big Ten,74.125,236,9.0,32.625,77.625,5.02,33.13,33,111.6,7.52,4.69,0,1674,9.315,68.599,55.808,75.809,45.723,3.6109,0,0,Round 6-7,1,0.2567885417758966,16,6.6115702479338845,41.02564102564102
2025,TE,Skill,Georgia Tech,ACC,76.5,253,9.125,32.125,79.0,4.82,34.5,16,121.0,6.65,4.4,1,1554,7.402,66.705,72.242,58.501,35.797,4.4543,0,0,Round 6-7,1,0.25649350044479124,17,7.024793388429752,43.58974358974359
2023,QB,Skill,BYU,FBS Independent,72.0,207,9.5,29.75,71.875,4.6,34.0,20,119.0,7.08,4.35,0,1526,0.819,50.481,70.378,34.793,40.904,4.5539,0,0,Round 6-7,1,0.2552274437390639,18,7.43801652892562,46.15384615384615
2024,C,OL,Arkansas,SEC,76.625,302,9.5,31.875,77.875,5.22,36.5,27,110.0,7.47,4.57,1,1431,2.225,47.846,34.458,61.741,53.372,3.7377,0,0,Round 6-7,1,0.254408570759305,19,7.851239669421488,48.717948717948715
