Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2023,CB,Secondary,Iowa,Big Ten,72.625,193,9.5,74.125,4.45,39.0,12,127.0,6.68,4.29,1,7.409,67.111,21.369,88.288,70.495,0,0,Rounds 2-3,0,0.3045955039004283,0,0.4132231404958678,0.0
2025,WR,Skill,Missouri,SEC,72.0,206,8.5,76.5,4.41,29.17,12,115.9,7.33,4.11,1,12.197,68.028,61.356,72.874,37.108,0,1,Rounds 2-3,0,0.3045358980076461,0,0.8264462809917356,0.0
2024,OT,OL,Notre Dame,FBS Independent,77.75,310,10.0,83.0,5.2,28.0,28,114.0,7.76,4.73,1,20.776,83.947,78.304,77.941,57.082,1,0,Rounds 2-3,0,0.304533129793142,0,1.2396694214876034,0.0
2024,OT,OL,Georgia,SEC,79.75,340,11.25,86.75,5.07,25.5,30,111.0,7.46,4.41,1,24.777,87.417,88.149,74.455,48.128,1,0,Round 1,0,0.3045320073178809,0,1.6528925619834711,0.0
2023,DL,DL,Texas,Big 12,74.625,292,10.375,83.375,5.04,33.0,29,112.0,7.53,4.75,1,19.379,79.1,73.758,70.57,66.449,1,0,Rounds 6-7,0,0.3044674356568619,0,2.066115702479339,0.0
2023,OT,OL,Georgia,SEC,77.375,311,10.625,82.75,4.97,30.0,20,108.0,7.6,4.69,1,29.908,93.511,90.791,87.647,45.406,0,0,Round 1,0,0.3043966287137115,0,2.479338842975207,0.0
2024,WR,Skill,Texas,Big 12,73.25,205,9.0,77.625,4.34,39.5,19,136.0,6.84,4.11,1,23.196,86.583,76.615,83.977,60.972,1,0,Rounds 2-3,0,0.30422896490793555,0,2.8925619834710745,0.0
2024,LB,LB,Penn St.,Big Ten,73.375,241,10.25,77.75,4.58,35.0,18,124.0,7.45,4.74,1,25.618,85.731,66.931,89.424,64.921,1,0,Undrafted,0,0.30417205117713386,0,3.3057851239669422,0.0
2024,RB,Skill,Notre Dame,FBS Independent,71.375,221,10.25,76.5,4.71,38.0,23,125.0,7.0,4.25,1,20.776,83.947,78.304,77.941,57.082,1,0,Rounds 4-5,1,0.3041144086922963,1,3.71900826446281,2.127659574468085
2025,LB,LB,Georgia,SEC,73.0,243,10.25,79.875,4.75,24.5,11,115.3,6.88,4.03,0,22.091,82.861,79.935,73.308,59.572,1,1,Round 1,0,0.30392974878172524,1,4.132231404958678,2.127659574468085
2024,S,Secondary,Washington,Pac-12,74.375,215,10.0,79.875,4.51,39.0,16,122.0,6.83,4.14,1,17.544,82.666,86.101,64.802,60.593,0,0,Rounds 6-7,0,0.30387521232151815,1,4.545454545454546,2.127659574468085
2025,RB,Skill,Ohio State,Big Ten,70.125,202,9.5,76.125,4.43,38.5,11,128.0,6.65,4.97,1,24.823,87.333,80.443,83.601,49.523,1,0,Rounds 2-3,0,0.30385041680622304,1,4.958677685950414,2.127659574468085
2025,EDGE,DL,South Carolina,SEC,76.0,254,9.625,81.5,4.73,30.43,23,138.0,6.65,4.97,1,14.834,76.206,60.762,80.864,51.02,0,0,Rounds 4-5,1,0.30383976623110315,2,5.371900826446281,4.25531914893617
2025,WR,Skill,Arizona,Big 12,76.125,219,10.0,77.875,4.68,32.15,15,121.5,6.94,4.19,0,-3.385,38.477,43.057,38.791,48.852,0,1,Round 1,0,0.30383713715695676,2,5.785123966942149,4.25531914893617
2025,TE,Skill,South Carolina,SEC,76.125,239,10.125,83.0,4.65,38.0,33,124.0,7.22,4.4,1,14.834,76.206,60.762,80.864,51.02,0,0,Undrafted,0,0.30361644714917574,2,6.198347107438017,4.25531914893617
2024,DL,DL,Ohio St.,Big Ten,74.75,290,10.0,81.125,4.97,31.0,27,111.0,7.65,4.61,0,27.485,89.569,83.397,86.658,44.2,1,0,Rounds 2-3,0,0.3035644062938643,2,6.6115702479338845,4.25531914893617
2024,OT,OL,Central Florida,Big 12,77.75,306,10.125,80.625,4.95,36.5,29,117.0,7.76,4.75,1,9.736,69.854,75.965,58.387,40.005,0,0,Rounds 6-7,0,0.3033783882197543,2,7.024793388429752,4.25531914893617
2025,DL,DL,North Carolina,ACC,76.25,294,10.25,81.125,4.28,35.5,26,114.0,8.19,4.03,1,2.602,50.555,55.402,46.067,47.749,0,0,Undrafted,0,0.30330907241529786,2,7.43801652892562,4.25531914893617
2025,TE,Skill,Alabama,SEC,75.0,274,9.625,78.25,4.91,34.0,26,119.0,7.34,4.45,1,23.933,85.057,77.281,79.955,59.628,1,0,Rounds 6-7,0,0.30319138668485535,2,7.851239669421488,4.25531914893617
2024,LB,LB,Washington,Pac-12,72.5,236,9.25,79.625,4.56,39.5,18,128.0,7.32,5.27,1,17.544,82.666,86.101,64.802,60.593,0,0,Rounds 4-5,1,0.30311630385929406,3,8.264462809917356,6.382978723404255
2024,CB,Secondary,Kentucky,SEC,70.75,190,8.75,75.0,4.48,42.0,15,135.0,6.95,3.94,1,7.33,63.962,60.477,61.626,52.112,0,0,Rounds 2-3,0,0.3029266195963117,3,8.677685950413224,6.382978723404255
2025,EDGE,DL,Miami,ACC,76.625,258,10.0,80.25,4.62,35.5,19,121.0,6.65,4.16,1,17.338,77.097,87.084,52.889,41.286,1,0,Rounds 6-7,0,0.30291280359653483,3,9.090909090909092,6.382978723404255
2024,CB,Secondary,Notre Dame,FBS Independent,75.0,202,9.375,78.875,4.5,39.5,11,130.0,7.12,4.24,1,20.776,83.947,78.304,77.941,57.082,1,0,Rounds 4-5,1,0.30276312484471807,4,9.50413223140496,8.51063829787234
2025,EDGE,DL,Central Arkansas,UAC,72.875,263,9.25,77.5,4.69,35.0,26,118.0,7.15,4.39,1,12.036,70.585,65.506,67.645,49.236,0,0,Rounds 4-5,1,0.302523346269847,5,9.917355371900827,10.638297872340425
2024,OT,OL,Arizona,Pac-12,77.0,311,10.875,81.375,5.04,28.0,27,110.0,8.02,4.72,1,11.44,73.172,77.614,56.651,58.122,0,0,Round 1,0,0.3020285312401152,5,10.330578512396695,10.638297872340425
2023,OT,OL,Maryland,Big Ten,77.625,306,9.375,79.125,5.1,31.5,20,113.0,7.6,4.69,1,7.842,61.934,61.039,57.849,51.968,0,0,Rounds 6-7,0,0.30196251602354385,5,10.743801652892563,10.638297872340425
2023,TE,Skill,Alabama,SEC,76.0,242,9.5,79.125,4.67,35.5,21,120.0,7.36,4.32,0,27.296,89.526,85.539,81.093,61.676,1,0,Rounds 4-5,1,0.30177622892409967,6,11.15702479338843,12.76595744680851
2025,WR,Skill,Tennessee,SEC,74.5,209,10.0,78.5,4.33,42.99,14,123.6,6.65,4.03,0,20.786,83.706,67.16,87.119,52.677,0,0,Undrafted,0,0.30175484403456243,6,11.570247933884298,12.76595744680851
2025,EDGE,DL,Arkansas,SEC,78.0,264,10.0,83.625,4.68,40.5,28,129.0,7.02,4.97,1,8.19,65.787,60.714,66.155,45.94,0,0,Rounds 2-3,0,0.30162069462463337,6,11.983471074380166,12.76595744680851
2024,EDGE,DL,Missouri,SEC,77.125,285,10.625,84.375,4.95,35.0,21,111.0,7.44,4.84,1,15.277,78.168,79.322,67.958,47.09,0,0,Round 1,0,0.30086967772465817,6,12.396694214876034,12.76595744680851
2023,EDGE,DL,Georgia,SEC,75.75,247,10.125,82.25,4.48,30.0,23,123.0,7.35,4.45,1,29.908,93.511,90.791,87.647,45.406,0,0,Rounds 6-7,0,0.3007320487576717,6,12.8099173553719,12.76595744680851
2024,S,Secondary,Texas Tech,Big 12,74.375,216,9.125,79.125,4.51,41.0,24,146.0,6.81,4.04,1,6.237,62.556,51.102,66.311,59.243,0,0,Undrafted,0,0.29941661283837356,6,13.223140495867769,12.76595744680851
2023,CB,Secondary,Michigan,Big Ten,71.25,178,9.625,73.375,4.26,38.5,12,131.0,6.51,4.28,1,23.62,85.085,79.485,79.2,57.128,1,0,Rounds 2-3,0,0.2992688293897104,6,13.636363636363635,12.76595744680851
2023,CB,Secondary,Utah,Pac-12,69.0,184,9.125,70.375,4.51,33.0,18,133.0,6.51,4.32,1,19.146,79.905,74.866,74.068,53.378,0,0,Rounds 4-5,1,0.2990251489002181,7,14.049586776859504,14.893617021276595
2024,WR,Skill,Southeast Missouri St.,OVC-Big South,72.75,202,10.125,76.125,4.44,39.5,19,132.0,6.85,4.12,1,10.257,67.367,64.253,63.204,55.565,0,0,Rounds 6-7,0,0.2984626560614248,7,14.46280991735537,14.893617021276595
2024,S,Secondary,Auburn,SEC,71.625,179,9.875,76.625,4.45,39.5,13,133.0,7.22,5.94,1,8.916,67.536,49.076,72.965,65.063,0,0,Rounds 6-7,0,0.2974993344921611,7,14.87603305785124,14.893617021276595
2024,EDGE,DL,Penn St.,Big Ten,76.375,247,9.625,81.0,4.74,34.5,23,123.0,7.42,4.6,1,25.618,85.731,66.931,89.424,64.921,1,0,Rounds 2-3,0,0.2964413384534006,7,15.289256198347106,14.893617021276595
2025,DL,DL,Georgia Tech,ACC,77.5,321,10.25,85.125,5.14,34.5,11,111.0,6.65,4.03,1,7.402,66.705,72.242,58.501,35.797,0,0,Rounds 6-7,0,0.2963752418633808,7,15.702479338842975,14.893617021276595
2023,WR,Skill,Mississippi,SEC,73.75,220,10.375,75.75,4.46,39.5,22,129.0,6.96,4.29,1,12.342,68.271,72.487,57.125,45.454,0,0,Rounds 2-3,0,0.29621525141104854,7,16.115702479338843,14.893617021276595
2024,CB,Secondary,South Carolina,SEC,71.75,190,8.875,77.625,4.46,40.5,15,129.0,6.94,4.19,1,6.054,55.105,53.866,54.724,48.937,0,0,Rounds 6-7,0,0.2957499517808997,7,16.528925619834713,14.893617021276595
2024,TE,Skill,Texas,Big 12,75.875,245,10.125,78.25,4.69,35.0,28,121.0,7.04,4.32,1,23.196,86.583,76.615,83.977,60.972,1,0,Rounds 4-5,1,0.2955628020098249,8,16.94214876033058,17.02127659574468
2023,TE,Skill,Utah,Pac-12,76.0,246,10.25,78.375,4.67,35.0,21,120.0,7.37,4.3,0,19.146,79.905,74.866,74.068,53.378,0,0,Round 1,0,0.2948668489603762,8,17.355371900826448,17.02127659574468
2023,TE,Skill,Georgia,SEC,78.625,264,11.0,83.75,4.64,31.0,21,122.0,6.75,4.08,1,29.908,93.511,90.791,87.647,45.406,0,0,Rounds 2-3,0,0.2944530636646835,8,17.768595041322314,17.02127659574468
2024,RB,Skill,Ohio St.,Big Ten,68.5,229,9.0,69.625,4.56,36.0,22,119.0,7.25,4.26,0,27.485,89.569,83.397,86.658,44.2,1,0,Undrafted,0,0.29409571987822986,8,18.181818181818183,17.02127659574468
2023,CB,Secondary,Iowa,Big Ten,72.0,205,9.25,77.125,4.62,35.5,18,118.0,6.99,4.17,1,7.409,67.111,21.369,88.288,70.495,0,0,Undrafted,0,0.2938694232789436,8,18.59504132231405,17.02127659574468
2024,TE,Skill,Washington,Pac-12,75.125,231,9.25,78.5,4.47,35.0,28,121.0,6.99,4.39,1,17.544,82.666,86.101,64.802,60.593,0,0,Rounds 6-7,0,0.29369263370587173,8,19.00826446280992,17.02127659574468
2025,LB,LB,Rutgers,Big Ten,76.625,239,9.0,82.375,4.28,43.0,33,123.2,7.59,4.2,0,3.857,55.405,64.09,40.753,58.771,0,0,Undrafted,0,0.2936622998714118,8,19.421487603305785,17.02127659574468
2025,EDGE,DL,Boston College,ACC,74.5,248,9.25,82.75,4.28,35.5,22,119.0,6.94,4.19,1,4.829,61.35,56.657,64.403,40.228,0,0,Rounds 2-3,0,0.2935331903087062,8,19.834710743801654,17.02127659574468
2025,DL,DL,Nebraska,Big Ten,77.125,288,10.0,79.0,4.83,33.5,28,119.0,7.58,4.5,1,6.154,64.984,58.011,69.664,41.381,0,0,Rounds 4-5,1,0.29335826977267193,9,20.24793388429752,19.148936170212767
2024,DL,DL,Iowa,Big Ten,77.375,281,10.25,78.875,5.05,31.5,25,114.0,7.16,4.37,1,6.086,61.244,18.216,86.165,61.239,0,0,Rounds 6-7,0,0.29273154047357014,9,20.66115702479339,19.148936170212767
2024,OT,OL,Howard,MEAC,79.75,353,9.75,85.5,5.35,27.5,31,105.0,7.5,4.41,1,10.624,67.994,66.593,60.836,53.823,0,0,Undrafted,0,0.2927300685114936,9,21.074380165289256,19.148936170212767
2024,DL,DL,Duke,ACC,74.375,302,10.25,79.125,4.99,32.0,27,109.0,7.95,4.75,1,8.778,68.7,63.774,63.667,60.347,0,0,Rounds 2-3,0,0.29226818551650807,9,21.487603305785125,19.148936170212767
