Season,Position,Position Group,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2023,EDGE,DL,SEC,75.75,247,10.125,82.25,4.48,30.0,23,123.0,7.35,4.45,1,29.908,93.511,90.791,87.647,45.406,0,0,Rounds 6-7,0,0.27629631120603154,0,0.4132231404958678,0.0
2024,OT,OL,FBS Independent,77.75,310,10.0,83.0,5.2,28.0,28,114.0,7.76,4.73,1,20.776,83.947,78.304,77.941,57.082,1,0,Rounds 2-3,0,0.2762365880411387,0,0.8264462809917356,0.0
2024,OT,OL,Pac-12,77.0,311,10.875,81.375,5.04,28.0,27,110.0,8.02,4.72,1,11.44,73.172,77.614,56.651,58.122,0,0,Round 1,0,0.2762234736117218,0,1.2396694214876034,0.0
2024,CB,Secondary,FBS Independent,75.0,202,9.375,78.875,4.5,39.5,11,130.0,7.12,4.24,1,20.776,83.947,78.304,77.941,57.082,1,0,Rounds 4-5,1,0.27621060209957665,1,1.6528925619834711,2.127659574468085
2025,EDGE,DL,UAC,72.875,263,9.25,77.5,4.69,35.0,26,118.0,7.15,4.39,1,12.036,70.585,65.506,67.645,49.236,0,0,Rounds 4-5,1,0.276182025734604,2,2.066115702479339,4.25531914893617
2024,DL,DL,Big Ten,74.75,290,10.0,81.125,4.97,31.0,27,111.0,7.65,4.61,0,27.485,89.569,83.397,86.658,44.2,1,0,Rounds 2-3,0,0.2761650076230525,2,2.479338842975207,4.25531914893617
2024,OT,OL,Big 12,77.75,306,10.125,80.625,4.95,36.5,29,117.0,7.76,4.75,1,9.736,69.854,75.965,58.387,40.005,0,0,Rounds 6-7,0,0.27609415164693485,2,2.8925619834710745,4.25531914893617
2023,CB,Secondary,Pac-12,69.0,184,9.125,70.375,4.51,33.0,18,133.0,6.51,4.32,1,19.146,79.905,74.866,74.068,53.378,0,0,Rounds 4-5,1,0.27608694317516846,3,3.3057851239669422,6.382978723404255
2024,WR,Skill,Big 12,73.25,205,9.0,77.625,4.34,39.5,19,136.0,6.84,4.11,1,23.196,86.583,76.615,83.977,60.972,1,0,Rounds 2-3,0,0.276077305717579,3,3.71900826446281,6.382978723404255
2025,EDGE,DL,ACC,76.625,258,10.0,80.25,4.62,35.5,19,121.0,6.65,4.16,1,17.338,77.097,87.084,52.889,41.286,1,0,Rounds 6-7,0,0.2757687533448615,3,4.132231404958678,6.382978723404255
2023,OT,OL,SEC,77.375,311,10.625,82.75,4.97,30.0,20,108.0,7.6,4.69,1,29.908,93.511,90.791,87.647,45.406,0,0,Round 1,0,0.27556287527644957,3,4.545454545454546,6.382978723404255
2024,LB,LB,Pac-12,72.5,236,9.25,79.625,4.56,39.5,18,128.0,7.32,5.27,1,17.544,82.666,86.101,64.802,60.593,0,0,Rounds 4-5,1,0.2755332771849793,4,4.958677685950414,8.51063829787234
2023,CB,Secondary,Big Ten,72.625,193,9.5,74.125,4.45,39.0,12,127.0,6.68,4.29,1,7.409,67.111,21.369,88.288,70.495,0,0,Rounds 2-3,0,0.27550394620211943,4,5.371900826446281,8.51063829787234
2025,EDGE,DL,SEC,78.0,264,10.0,83.625,4.68,40.5,28,129.0,7.02,4.97,1,8.19,65.787,60.714,66.155,45.94,0,0,Rounds 2-3,0,0.27516593665803946,4,5.785123966942149,8.51063829787234
2025,DL,DL,ACC,76.25,294,10.25,81.125,4.28,35.5,26,114.0,8.19,4.03,1,2.602,50.555,55.402,46.067,47.749,0,0,Undrafted,0,0.2751182669775846,4,6.198347107438017,8.51063829787234
2024,LB,LB,Big Ten,73.375,241,10.25,77.75,4.58,35.0,18,124.0,7.45,4.74,1,25.618,85.731,66.931,89.424,64.921,1,0,Undrafted,0,0.27469518738319443,4,6.6115702479338845,8.51063829787234
2024,CB,Secondary,SEC,70.75,190,8.75,75.0,4.48,42.0,15,135.0,6.95,3.94,1,7.33,63.962,60.477,61.626,52.112,0,0,Rounds 2-3,0,0.27463234916744694,4,7.024793388429752,8.51063829787234
2025,LB,LB,Big Ten,72.625,218,9.534,79.875,4.38,35.0,11,127.0,7.24,4.03,1,18.73,83.71,85.132,72.021,40.91,1,0,Undrafted,0,0.27452753174402794,4,7.43801652892562,8.51063829787234
2023,DL,DL,Big 12,74.625,292,10.375,83.375,5.04,33.0,29,112.0,7.53,4.75,1,19.379,79.1,73.758,70.57,66.449,1,0,Rounds 6-7,0,0.27419045411042947,4,7.851239669421488,8.51063829787234
2023,CB,Secondary,Big Ten,72.0,205,9.25,77.125,4.62,35.5,18,118.0,6.99,4.17,1,7.409,67.111,21.369,88.288,70.495,0,0,Undrafted,0,0.27411026288567436,4,8.264462809917356,8.51063829787234
2024,RB,Skill,FBS Independent,71.375,221,10.25,76.5,4.71,38.0,23,125.0,7.0,4.25,1,20.776,83.947,78.304,77.941,57.082,1,0,Rounds 4-5,1,0.2740802178213587,5,8.677685950413224,10.638297872340425
2025,WR,Skill,Big 12,76.125,219,10.0,77.875,4.68,32.15,15,121.5,6.94,4.19,0,-3.385,38.477,43.057,38.791,48.852,0,1,Round 1,0,0.2740460739745266,5,9.090909090909092,10.638297872340425
2024,S,Secondary,Pac-12,74.375,215,10.0,79.875,4.51,39.0,16,122.0,6.83,4.14,1,17.544,82.666,86.101,64.802,60.593,0,0,Rounds 6-7,0,0.27390162297531634,5,9.50413223140496,10.638297872340425
2025,RB,Skill,Big Ten,70.125,202,9.5,76.125,4.43,38.5,11,128.0,6.65,4.97,1,24.823,87.333,80.443,83.601,49.523,1,0,Rounds 2-3,0,0.27372363905444796,5,9.917355371900827,10.638297872340425
2025,EDGE,DL,ACC,74.5,248,9.25,82.75,4.28,35.5,22,119.0,6.94,4.19,1,4.829,61.35,56.657,64.403,40.228,0,0,Rounds 2-3,0,0.2734051419472306,5,10.330578512396695,10.638297872340425
2023,WR,Skill,Big Ten,70.0,204,10.125,72.0,4.52,35.5,16,123.0,6.94,4.29,1,19.477,82.964,71.335,83.462,50.595,0,0,Rounds 6-7,0,0.27205442376987876,5,10.743801652892563,10.638297872340425
2025,EDGE,DL,SEC,77.875,274,9.125,82.75,5.45,24.5,30,138.0,8.19,4.97,0,20.608,84.235,76.596,81.866,47.73,1,0,Undrafted,0,0.27190456812394304,5,11.15702479338843,10.638297872340425
2024,OT,OL,SEC,79.75,340,11.25,86.75,5.07,25.5,30,111.0,7.46,4.41,1,24.777,87.417,88.149,74.455,48.128,1,0,Round 1,0,0.2714592789942888,5,11.570247933884298,10.638297872340425
2025,DL,DL,Big Ten,77.125,288,10.0,79.0,4.83,33.5,28,119.0,7.58,4.5,1,6.154,64.984,58.011,69.664,41.381,0,0,Rounds 4-5,1,0.27120033267294785,6,11.983471074380166,12.76595744680851
2023,OT,OL,Big Ten,77.625,306,9.375,79.125,5.1,31.5,20,113.0,7.6,4.69,1,7.842,61.934,61.039,57.849,51.968,0,0,Rounds 6-7,0,0.2704908205370666,6,12.396694214876034,12.76595744680851
2024,S,Secondary,SEC,71.625,179,9.875,76.625,4.45,39.5,13,133.0,7.22,5.94,1,8.916,67.536,49.076,72.965,65.063,0,0,Rounds 6-7,0,0.27023806117840654,6,12.8099173553719,12.76595744680851
