Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2024,C,OL,Duke,ACC,75.0,308,10.0,32.375,79.0,5.09,29.5,28,108.0,7.41,4.01,1,1654,8.778,68.7,63.774,63.667,60.347,4.5643,0,0,Rounds 6-7,1,0.43914897628167565,1,0.4132231404958678,1.7241379310344827
2023,WR,Skill,Iowa St.,Big 12,73.875,203,9.375,31.375,74.875,4.53,36.0,17,116.0,6.91,4.35,1,1554,6.28,57.494,40.857,78.383,33.853,3.989,0,0,Rounds 6-7,1,0.41129343352814596,2,0.8264462809917356,3.4482758620689653
2025,RB,Skill,Rutgers,Big Ten,68.25,211,9.0,38.625,72.0,4.6,34.5,11,115.7,7.58,4.97,1,1533,3.857,55.405,64.09,40.753,58.771,3.2581,0,0,Rounds 6-7,1,0.3932922311877884,3,1.2396694214876034,5.172413793103448
2025,IOL,OL,Iowa,Big Ten,77.75,309,10.0,32.0,77.125,5.45,28.5,33,110.0,7.78,4.63,1,1774,11.144,70.238,48.063,74.759,71.573,2.3026,0,0,Rounds 6-7,1,0.3889356820786019,4,1.6528925619834711,6.896551724137931
2024,DL,DL,Auburn,SEC,74.375,286,9.625,32.0,78.25,5.06,29.5,27,103.0,6.81,4.6,1,1585,8.916,67.536,49.076,72.965,65.063,2.4849,0,0,Rounds 6-7,1,0.3889118694293666,5,2.066115702479339,8.620689655172415
2024,C,OL,Michigan St.,Big Ten,76.0,307,9.75,32.75,79.0,5.17,31.5,27,107.0,7.41,4.29,0,1338,-3.512,38.745,32.821,44.666,62.478,3.434,0,0,Rounds 6-7,1,0.3850394317761527,6,2.479338842975207,10.344827586206897
2024,WR,Skill,Pittsburgh,ACC,73.0,212,10.125,33.25,79.375,4.43,39.5,19,122.0,6.85,4.1,1,1404,-0.369,43.622,32.282,60.013,38.896,4.4886,0,0,Rounds 6-7,1,0.3811847430290144,7,2.8925619834710745,12.068965517241379
2023,WR,Skill,Charlotte,Conference USA,74.0,201,9.5,31.875,77.875,4.57,35.0,17,125.0,6.89,4.32,1,1081,-17.759,17.839,41.399,10.816,49.466,1.0986,0,0,Rounds 6-7,1,0.37774696291308396,8,3.3057851239669422,13.793103448275861
2023,RB,Skill,Kentucky,SEC,72.0,217,8.625,30.625,73.625,4.55,34.5,20,122.0,6.92,4.4,0,1606,5.824,59.284,46.761,72.541,34.773,4.1897,0,0,Rounds 6-7,1,0.3755708851190859,9,3.71900826446281,15.517241379310345
2023,IOL,OL,USC,Pac-12,78.0,310,10.0,32.125,77.75,5.22,29.0,20,105.0,7.9,4.79,1,1745,13.164,77.414,90.693,44.38,43.862,3.4012,0,0,Rounds 6-7,1,0.37503147564619743,10,4.132231404958678,17.24137931034483
2024,S,Secondary,Miami,ACC,76.25,231,9.5,33.625,80.25,4.65,30.0,17,117.0,6.69,3.5,1,1580,11.169,68.436,66.666,63.176,51.762,2.8332,0,0,Rounds 6-7,1,0.3744163727456827,11,4.545454545454546,18.96551724137931
2023,RB,Skill,Northwestern,Big Ten,70.125,209,9.25,30.625,74.375,4.47,37.0,20,123.0,6.9,4.38,1,1257,-7.588,30.34,26.742,42.636,51.301,4.4188,0,0,Rounds 6-7,1,0.37278254301930724,12,4.958677685950414,20.689655172413794
2024,WR,Skill,USC,Pac-12,74.375,208,9.625,33.0,78.0,4.5,36.5,13,119.0,6.86,4.12,1,1723,13.091,69.753,82.697,42.068,66.367,3.5264,0,0,Rounds 6-7,1,0.36682375304575754,13,5.371900826446281,22.413793103448278
2023,CB,Secondary,Houston,AAC,72.0,195,9.5,32.0,78.0,4.53,37.5,15,125.0,6.97,4.52,1,1619,4.061,51.527,62.603,38.496,54.875,1.6094,0,0,Rounds 6-7,1,0.36535628631927153,14,5.785123966942149,24.137931034482758
2025,WR,Skill,Pittsburgh,ACC,71.375,186,8.5,29.375,74.375,4.59,36.0,19,124.0,7.37,4.03,1,1456,3.991,55.816,49.345,57.768,56.475,2.8332,0,0,Rounds 6-7,1,0.3583856080261179,15,6.198347107438017,25.862068965517242
2024,CB,Secondary,Pittsburgh,ACC,70.75,186,8.75,32.875,78.25,4.45,38.5,15,124.0,7.12,4.35,1,1404,-0.369,43.622,32.282,60.013,38.896,3.4012,0,0,Rounds 6-7,1,0.3570777057341583,16,6.6115702479338845,27.586206896551722
2023,TE,Skill,Oklahoma,Big 12,75.5,241,9.75,33.25,79.125,4.68,32.0,20,117.0,7.3,4.36,1,1662,9.969,66.271,71.907,54.872,48.16,2.4849,0,0,Rounds 6-7,1,0.3557014352942421,17,7.024793388429752,29.310344827586203
