Season,Position,Position Group,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2024,LB,LB,Big 12,74.375,240,9.5,74.375,4.62,33.5,18,121.0,7.44,4.44,1,23.196,86.583,1,0,Rounds 6-7,1,0.2978736994856634,1,0.4132231404958678,1.7241379310344827
2025,TE,Skill,Big Ten,77.75,251,10.0,78.375,5.42,35.0,11,120.0,7.18,4.47,1,11.144,70.238,0,0,Rounds 6-7,1,0.2978735323300726,2,0.8264462809917356,3.4482758620689653
2023,TE,Skill,ACC,75.75,247,8.75,79.375,4.7,35.5,20,115.0,7.42,4.3,1,7.586,64.28,0,0,Undrafted,0,0.2978735073915862,2,1.2396694214876034,3.4482758620689653
2023,K,Special Teams,Big Ten,73.0,209,9.5,75.875,4.58,34.0,20,121.0,7.27,4.44,0,23.62,85.085,1,0,Rounds 4-5,0,0.29786493840356004,2,1.6528925619834711,3.4482758620689653
2024,IOL,OL,Big Ten,76.125,308,9.875,80.625,5.01,26.5,28,112.0,7.64,4.61,1,8.085,66.299,0,0,Undrafted,0,0.29785738670150746,2,2.066115702479339,3.4482758620689653
2023,EDGE,DL,Mountain West,76.0,276,9.0,77.375,4.74,34.0,24,118.0,7.5,4.52,1,-5.871,37.879,0,0,Rounds 4-5,0,0.29784739695767887,2,2.479338842975207,3.4482758620689653
2025,OT,OL,ACC,80.125,316,10.375,81.0,5.21,24.5,22,106.0,7.71,4.7,1,4.829,61.35,0,0,Rounds 2-3,0,0.29781911659675453,2,2.8925619834710745,3.4482758620689653
2023,WR,Skill,AAC,68.625,182,8.625,70.375,4.4,37.5,14,124.0,6.92,4.29,1,6.451,60.989,0,0,Rounds 4-5,0,0.29779758231227754,2,3.3057851239669422,3.4482758620689653
2023,C,OL,SEC,75.0,306,9.75,79.625,5.26,32.5,20,111.0,7.52,4.43,1,6.93,62.299,0,0,Rounds 4-5,0,0.2977624413192811,2,3.71900826446281,3.4482758620689653
2023,RB,Skill,Big 12,71.0,215,9.375,78.5,4.54,34.5,20,121.0,6.96,4.43,0,14.378,80.5,0,0,Rounds 2-3,0,0.2977047419921318,2,4.132231404958678,3.4482758620689653
2024,C,OL,Big Ten,73.5,298,9.0,78.25,5.23,29.5,25,101.0,7.33,4.5,1,27.625,94.395,0,0,Undrafted,0,0.29769302012848037,2,4.545454545454546,3.4482758620689653
2023,RB,Skill,Big Ten,70.125,209,9.25,74.375,4.47,37.0,20,123.0,6.9,4.38,1,-7.588,30.34,0,0,Rounds 6-7,1,0.2976804049632003,3,4.958677685950414,5.172413793103448
2025,LB,LB,ACC,73.875,233,9.375,75.375,4.6,40.0,26,125.0,7.28,4.03,1,4.302,57.687,0,0,Rounds 4-5,0,0.29766748660360776,3,5.371900826446281,5.172413793103448
2024,IOL,OL,SEC,75.5,302,10.5,81.5,5.13,26.5,27,111.0,7.67,4.58,1,15.36,75.057,0,0,Rounds 4-5,0,0.29766713927092486,3,5.785123966942149,5.172413793103448
2025,RB,Skill,SEC,72.0,217,9.25,76.25,4.46,36.5,33,117.1,7.28,4.03,1,14.834,76.206,0,0,Undrafted,0,0.2975445931180654,3,6.198347107438017,5.172413793103448
2024,EDGE,DL,AAC,76.5,260,9.5,79.375,4.65,34.5,23,121.0,7.17,4.36,0,-14.993,22.913,0,0,Undrafted,0,0.2975386745554223,3,6.6115702479338845,5.172413793103448
2023,TE,Skill,Big 12,75.5,241,9.75,79.125,4.68,32.0,20,117.0,7.3,4.36,1,9.969,66.271,0,0,Rounds 6-7,1,0.29752305687566116,4,7.024793388429752,6.896551724137931
2024,TE,Skill,SEC,75.0,240,9.375,78.75,4.64,32.5,28,121.0,7.09,4.54,1,6.054,55.105,0,0,Undrafted,0,0.29745677132014187,4,7.43801652892562,6.896551724137931
2023,RB,Skill,AAC,71.75,216,9.25,75.0,4.41,35.5,20,124.0,6.83,4.31,1,-4.107,43.074,0,0,Undrafted,0,0.29742518488488734,4,7.851239669421488,6.896551724137931
2025,EDGE,DL,Big 12,75.75,242,9.0,81.25,5.45,32.5,21,124.0,6.65,4.97,1,9.105,70.789,0,0,Undrafted,0,0.2973299395172846,4,8.264462809917356,6.896551724137931
2024,DL,DL,SEC,74.375,286,9.625,78.25,5.06,29.5,27,103.0,6.81,4.6,1,8.916,67.536,0,0,Rounds 6-7,1,0.2973097140499105,5,8.677685950413224,8.620689655172415
2023,CB,Secondary,Sun Belt,74.0,200,9.75,78.125,4.48,37.0,13,124.0,6.83,4.3,1,-6.531,40.095,0,0,Undrafted,0,0.2972519165040105,5,9.090909090909092,8.620689655172415
2025,WR,Skill,SEC,76.625,205,9.5,79.0,4.3,33.0,20,126.0,7.05,4.03,1,20.786,83.706,0,0,Rounds 4-5,0,0.29723732276584774,5,9.50413223140496,8.620689655172415
2023,IOL,OL,ACC,74.25,303,9.5,81.0,4.99,28.5,20,108.0,7.7,4.81,1,17.553,74.958,0,0,Rounds 4-5,0,0.2971903865565678,5,9.917355371900827,8.620689655172415
2024,CB,Secondary,SEC,71.375,179,8.625,74.625,4.44,33.5,15,123.0,6.94,4.58,1,15.277,78.168,0,0,Rounds 4-5,0,0.2970644444959286,5,10.330578512396695,8.620689655172415
2025,WR,Skill,SEC,71.0,191,9.5,76.375,4.29,27.78,11,115.1,6.65,4.03,1,26.107,88.25,0,0,Round 1,0,0.2970479316034373,5,10.743801652892563,8.620689655172415
2023,RB,Skill,Pac-12,72.375,237,9.25,76.0,4.74,30.0,20,118.0,6.84,4.32,1,19.146,79.905,0,0,Undrafted,0,0.2969982064507946,5,11.15702479338843,8.620689655172415
2024,CB,Secondary,MVFC,70.875,195,9.375,74.0,4.5,35.5,13,118.0,6.88,3.98,1,10.639,66.998,0,0,Rounds 6-7,1,0.29696192193334997,6,11.570247933884298,10.344827586206897
2024,RB,Skill,SEC,69.625,207,9.5,73.0,4.56,32.5,22,114.0,6.95,4.24,1,24.777,87.417,1,0,Undrafted,0,0.2969545769221929,6,11.983471074380166,10.344827586206897
2025,WR,Skill,SEC,71.25,196,9.125,72.5,4.37,36.5,14,119.0,6.65,4.36,1,20.608,84.235,1,0,Rounds 4-5,0,0.29691542246690467,6,12.396694214876034,10.344827586206897
2025,WR,Skill,ACC,73.75,206,10.0,78.375,4.44,38.5,33,127.0,6.7,4.31,1,-5.299,38.36,0,0,Rounds 4-5,0,0.29673579591771665,6,12.8099173553719,10.344827586206897
2023,WR,Skill,Big Ten,71.375,175,9.0,74.0,4.43,36.5,13,124.0,6.91,4.29,1,4.283,58.947,0,0,Rounds 4-5,0,0.2966228687303288,6,13.223140495867769,10.344827586206897
2024,C,OL,ACC,75.0,308,10.0,79.0,5.09,29.5,28,108.0,7.41,4.01,1,8.778,68.7,0,0,Rounds 6-7,1,0.2965899099795467,7,13.636363636363635,12.068965517241379
2023,RB,Skill,SEC,72.25,204,9.0,76.375,4.62,35.5,20,122.0,7.11,4.57,1,29.908,93.511,0,0,Rounds 6-7,1,0.2965845274741121,8,14.049586776859504,13.793103448275861
2025,RB,Skill,Big Ten,68.25,211,9.0,72.0,4.6,34.5,11,115.7,7.58,4.97,1,3.857,55.405,0,0,Rounds 6-7,1,0.2965635996677705,9,14.46280991735537,15.517241379310345
2023,CB,Secondary,FBS Independent,72.375,202,9.0,74.75,4.62,30.5,17,118.0,7.08,4.23,1,12.6,69.601,0,0,Undrafted,0,0.29653212479493307,9,14.87603305785124,15.517241379310345
2024,CB,Secondary,SEC,72.0,183,8.5,73.75,4.38,34.5,15,125.0,6.94,4.55,1,15.302,75.391,0,0,Rounds 4-5,0,0.2964093800661483,9,15.289256198347106,15.517241379310345
2025,IOL,OL,SEC,78.5,308,10.375,79.25,4.97,32.0,11,113.0,7.38,4.03,1,22.091,82.861,1,0,Rounds 2-3,0,0.29639823015904015,9,15.702479338842975,15.517241379310345
2024,CB,Secondary,SEC,73.0,196,8.5,74.125,4.49,38.0,15,126.0,6.94,4.25,0,14.091,72.034,1,0,Rounds 6-7,1,0.29607969717794874,10,16.115702479338843,17.24137931034483
2024,S,Secondary,ACC,76.25,231,9.5,80.25,4.65,30.0,17,117.0,6.69,3.5,1,11.169,68.436,0,0,Rounds 6-7,1,0.29596034567140245,11,16.528925619834713,18.96551724137931
2023,LB,LB,ACC,72.5,226,10.625,78.875,4.56,33.0,19,119.0,7.35,4.4,1,7.918,61.732,0,0,Rounds 4-5,0,0.295508342348845,11,16.94214876033058,18.96551724137931
2023,LB,LB,Big 12,74.625,229,9.5,78.125,4.56,34.0,15,124.0,6.62,4.33,1,19.379,79.1,1,0,Rounds 2-3,0,0.29545241132489697,11,17.355371900826448,18.96551724137931
2024,RB,Skill,ACC,71.0,206,9.625,74.125,4.51,35.0,22,122.0,6.82,4.23,0,13.892,72.489,1,0,Rounds 4-5,0,0.2950316257849218,11,17.768595041322314,18.96551724137931
2025,WR,Skill,Big 12,73.25,214,9.0,75.0,4.52,34.5,19,125.0,6.84,4.21,1,8.023,67.255,0,0,Rounds 2-3,0,0.2949088718292729,11,18.181818181818183,18.96551724137931
2025,TE,Skill,FBS Independent,77.375,241,9.5,77.0,4.74,31.0,33,115.0,7.25,4.4,1,25.305,88.314,0,0,Rounds 6-7,1,0.29488684068546256,12,18.59504132231405,20.689655172413794
2023,EDGE,DL,Sun Belt,76.5,248,10.0,81.25,4.67,29.0,23,116.0,7.35,4.44,1,-2.136,45.745,0,0,Rounds 6-7,1,0.2944696072341804,13,19.00826446280992,22.413793103448278
2025,RB,Skill,SEC,68.75,198,9.5,70.5,4.42,35.0,15,124.0,6.65,4.03,1,22.091,82.861,1,0,Rounds 4-5,0,0.2939666683507394,13,19.421487603305785,22.413793103448278
2025,WR,Skill,Big 12,76.125,214,9.125,80.0,4.47,39.0,11,128.0,7.75,4.03,1,10.15,66.812,0,0,Rounds 2-3,0,0.2937798954191114,13,19.834710743801654,22.413793103448278
2023,RB,Skill,Pac-12,70.0,201,9.25,70.25,4.46,35.5,20,122.0,7.16,4.61,0,13.164,77.414,0,0,Undrafted,0,0.2935338439301842,13,20.24793388429752,22.413793103448278
2025,WR,Skill,FBS Independent,75.0,201,9.5,79.5,4.49,38.37,19,123.0,7.02,4.42,0,25.305,88.314,0,0,Undrafted,0,0.293464517593106,13,20.66115702479339,22.413793103448278
