Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2025,DL,DL,Maryland,Big Ten,75.75,306,10.0,33.5,82.625,5.09,28.0,11,103.0,8.19,4.03,1,1407,-0.535,43.23,46.603,47.026,35.755,0,0,Rounds 6-7,1,0.2911802093790351,1,0.4132231404958678,1.7241379310344827
2023,LB,LB,TCU,Big 12,71.0,227,8.625,31.625,75.0,4.49,30.5,20,117.0,7.44,4.42,1,1729,14.378,80.5,80.39,69.518,54.974,0,0,Rounds 6-7,1,0.2911753897001371,2,0.8264462809917356,3.4482758620689653
2025,DL,DL,Utah,Big 12,75.5,308,10.5,32.5,78.75,5.03,28.5,24,93.0,8.19,4.03,1,1563,5.029,60.487,30.282,79.81,59.786,0,0,Undrafted,0,0.2911684458512334,2,1.2396694214876034,3.4482758620689653
2024,CB,Secondary,Mississippi,SEC,72.0,183,8.5,30.75,73.75,4.38,34.5,15,125.0,6.94,4.55,1,1737,15.302,75.391,76.693,64.536,49.591,0,0,Rounds 4-5,0,0.29116774091251424,2,1.6528925619834711,3.4482758620689653
2025,CB,Secondary,Nebraska,Big Ten,72.5,213,9.0,32.75,79.5,4.38,30.44,11,116.6,8.12,4.97,0,1537,6.154,64.984,58.011,69.664,41.381,0,0,Undrafted,0,0.29114734978861645,2,2.066115702479339,3.4482758620689653
2024,RB,Skill,Louisville,ACC,69.5,193,8.5,30.125,71.0,4.56,34.5,22,121.0,6.65,4.22,1,1688,11.36,72.759,63.856,75.697,45.123,0,0,Rounds 6-7,1,0.29112682199669976,3,2.479338842975207,5.172413793103448
2023,C,OL,Arkansas,SEC,75.0,306,9.75,33.25,79.625,5.26,32.5,20,111.0,7.52,4.43,1,1686,6.93,62.299,69.2,48.112,56.255,0,0,Rounds 4-5,0,0.2910983880057271,3,2.8925619834710745,5.172413793103448
2023,OT,OL,Boise St.,Mountain West,77.75,309,10.75,34.0,83.625,5.24,28.5,20,104.0,7.52,4.52,1,1712,3.797,52.954,41.976,64.425,46.27,0,0,Undrafted,0,0.2910956856122117,3,3.3057851239669422,5.172413793103448
2024,S,Secondary,Miami,ACC,76.25,231,9.5,33.625,80.25,4.65,30.0,17,117.0,6.69,3.5,1,1580,11.169,68.436,66.666,63.176,51.762,0,0,Rounds 6-7,1,0.2910861978665213,4,3.71900826446281,6.896551724137931
2024,RB,Skill,Clemson,ACC,71.0,206,9.625,30.25,74.125,4.51,35.0,22,122.0,6.82,4.23,0,1764,13.892,72.489,48.101,90.04,37.087,1,0,Rounds 4-5,0,0.2910734119349394,4,4.132231404958678,6.896551724137931
2024,C,OL,Michigan St.,Big Ten,76.0,307,9.75,32.75,79.0,5.17,31.5,27,107.0,7.41,4.29,0,1338,-3.512,38.745,32.821,44.666,62.478,0,0,Rounds 6-7,1,0.29104604999836087,5,4.545454545454546,8.620689655172415
2025,IOL,OL,Georgia,SEC,78.5,308,10.375,32.25,79.25,4.97,32.0,11,113.0,7.38,4.03,1,1998,22.091,82.861,79.935,73.308,59.572,1,0,Rounds 2-3,0,0.29101790095468605,5,4.958677685950414,8.620689655172415
2024,CB,Secondary,Missouri,SEC,71.375,179,8.625,31.0,74.625,4.44,33.5,15,123.0,6.94,4.58,1,1866,15.277,78.168,79.322,67.958,47.09,0,0,Rounds 4-5,0,0.29098849696809465,5,5.371900826446281,8.620689655172415
2023,RB,Skill,Tulsa,AAC,71.75,216,9.25,31.25,75.0,4.41,35.5,20,124.0,6.83,4.31,1,1378,-4.107,43.074,50.493,42.491,37.352,0,0,Undrafted,0,0.29098623005738233,5,5.785123966942149,8.620689655172415
2025,RB,Skill,South Carolina,SEC,72.0,217,9.25,31.5,76.25,4.46,36.5,33,117.1,7.28,4.03,1,1810,14.834,76.206,60.762,80.864,51.02,0,0,Undrafted,0,0.290985453036868,5,6.198347107438017,8.620689655172415
2024,IOL,OL,Maryland,Big Ten,76.125,308,9.875,33.0,80.625,5.01,26.5,28,112.0,7.64,4.61,1,1695,8.085,66.299,64.78,61.709,49.654,0,0,Undrafted,0,0.290925484578118,5,6.6115702479338845,8.620689655172415
