Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2025,TE,Skill,Bowling Green,MAC,75.25,241,9.25,32.25,79.25,4.71,34.0,22,118.0,6.97,4.39,1,1442,-3.156,48.952,45.874,55.957,41.324,0,0,Round 3,0,0.24321662927426932,0,0.4132231404958678,0.0
2024,QB,Skill,Kentucky,SEC,73.25,215,9.5,30.875,74.375,4.78,32.0,18,112.0,7.07,4.29,0,1641,7.33,63.962,60.477,61.626,52.112,0,0,Round 6,0,0.238098562155273,0,0.8264462809917356,0.0
2024,P,Special Teams,BYU,Big 12,76.375,235,8.875,31.25,76.375,4.63,35.5,19,123.0,7.05,4.31,0,1364,-1.805,52.478,36.286,62.31,60.603,0,0,Undrafted,1,0.23335309807200175,1,1.2396694214876034,1.5151515151515151
2025,WR,Skill,San Jose St.,Mountain West,74.5,203,8.625,31.0,76.5,4.57,34.0,16,123.0,7.41,4.47,1,1477,-5.133,42.709,44.903,47.684,35.133,0,0,Undrafted,1,0.2325190645461047,2,1.6528925619834711,3.0303030303030303
2024,IOL,OL,Illinois,Big Ten,76.25,315,9.0,33.875,81.875,5.22,24.5,26,102.0,7.77,4.73,1,1504,0.543,45.217,52.138,44.335,38.615,0,0,Round 3,0,0.22943977936765672,2,2.066115702479339,3.0303030303030303
2025,TE,Skill,UCLA,Big Ten,77.625,260,9.5,32.5,78.875,4.81,32.5,11,114.0,6.65,4.97,1,1488,2.781,54.088,49.817,56.439,50.8,0,0,Round 7,0,0.22862900415646029,2,2.479338842975207,3.0303030303030303
2025,WR,Skill,Texas Tech,Big 12,72.625,186,10.5,30.75,76.625,4.7,33.0,14,121.0,7.02,4.97,1,1607,6.204,57.272,59.502,48.684,59.274,1,0,Undrafted,1,0.22748094619544917,3,2.8925619834710745,4.545454545454546
2024,EDGE,DL,Charlotte,AAC,76.5,260,9.5,33.5,79.375,4.65,34.5,23,121.0,7.17,4.36,0,1055,-14.993,22.913,17.6,42.495,39.432,0,0,Undrafted,1,0.22339939923196425,4,3.3057851239669422,6.0606060606060606
2023,RB,Skill,Alabama-Birmingham,Conference USA,70.0,209,9.5,30.625,73.125,4.5,35.0,20,121.0,7.04,4.51,0,1515,0.176,50.057,50.562,50.551,46.781,0,0,Round 6,0,0.2203876245806422,4,3.71900826446281,6.0606060606060606
2025,CB,Secondary,East Carolina,AAC,73.875,194,9.5,32.5,79.75,4.67,30.46,13,112.0,8.19,4.03,0,1403,-5.922,41.022,32.234,48.38,64.194,0,0,Round 3,0,0.2190493899063896,4,4.132231404958678,6.0606060606060606
