Season,Position,Position Group,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2025,LB,LB,Big 12,134.75,231,10.067,74.5,4.68,29.53,11,123.3,7.09,4.03,0,5.029,60.487,0,0,Undrafted,1,0.9998279608495083,1,0.4132231404958678,1.5151515151515151
2024,P,Special Teams,Big 12,76.375,235,8.875,76.375,4.63,35.5,19,123.0,7.05,4.31,0,-1.805,52.478,0,0,Undrafted,1,0.6250695741038363,2,0.8264462809917356,3.0303030303030303
2024,IOL,OL,SEC,77.25,304,9.5,77.875,5.31,29.0,26,110.0,7.57,4.47,1,2.225,47.846,0,0,Undrafted,1,0.6211517723526425,3,1.2396694214876034,4.545454545454546
2024,IOL,OL,Conference USA,75.25,322,10.25,81.125,5.5,24.0,26,96.0,8.26,4.97,1,3.816,67.732,0,0,Undrafted,1,0.601278436727704,4,1.6528925619834711,6.0606060606060606
2024,C,OL,Big 12,76.0,314,10.0,78.75,5.42,24.5,24,95.0,7.41,4.33,1,22.492,84.142,0,0,Undrafted,1,0.6007419592066907,5,2.066115702479339,7.575757575757576
2025,WR,Skill,Mountain West,74.5,203,8.625,76.5,4.57,34.0,16,123.0,7.41,4.47,1,-5.133,42.709,0,0,Undrafted,1,0.5955023631756156,6,2.479338842975207,9.090909090909092
2025,IOL,OL,Big 12,78.5,313,10.25,79.5,5.27,30.0,33,108.0,8.19,4.69,1,1.795,52.984,0,0,Rounds 2-3,0,0.5950087326499279,6,2.8925619834710745,9.090909090909092
2023,IOL,OL,Sun Belt,78.25,318,10.25,81.25,5.21,31.0,20,111.0,7.57,4.69,1,-10.538,30.819,0,0,Rounds 4-5,0,0.5839113354195664,6,3.3057851239669422,9.090909090909092
2024,K,Special Teams,SEC,73.0,172,9.25,73.625,4.29,39.0,13,130.0,6.69,4.06,0,2.225,47.846,0,0,Rounds 6-7,0,0.5648541017098185,6,3.71900826446281,9.090909090909092
2024,C,OL,ACC,77.375,313,9.375,79.75,5.2,31.0,27,105.0,7.41,4.24,0,8.778,68.7,0,0,Round 1,0,0.5481291256516219,6,4.132231404958678,9.090909090909092
2023,WR,Skill,Mountain West,71.125,172,8.875,74.75,4.4,34.5,12,121.0,6.91,4.29,1,3.726,61.671,0,0,Undrafted,1,0.5402546536693393,7,4.545454545454546,10.606060606060606
2023,RB,Skill,SEC,72.0,217,8.625,73.625,4.55,34.5,20,122.0,6.92,4.4,0,5.824,59.284,0,0,Rounds 6-7,0,0.5398615659024799,7,4.958677685950414,10.606060606060606
2025,IOL,OL,ACC,77.25,321,9.0,80.875,5.45,24.5,11,113.3,6.77,4.03,0,14.768,79.193,0,0,Undrafted,1,0.5376758082925992,8,5.371900826446281,12.121212121212121
2023,WR,Skill,Conference USA,74.0,201,9.5,77.875,4.57,35.0,17,125.0,6.89,4.32,1,-17.759,17.839,0,0,Rounds 6-7,0,0.5376160471811842,8,5.785123966942149,12.121212121212121
2023,WR,Skill,Big 12,73.875,203,9.375,74.875,4.53,36.0,17,116.0,6.91,4.35,1,6.28,57.494,0,0,Rounds 6-7,0,0.534573305404946,8,6.198347107438017,12.121212121212121
2023,LS,Special Teams,AAC,76.0,240,9.625,78.375,5.06,30.0,12,114.0,7.27,4.46,1,6.904,61.732,0,0,Undrafted,1,0.5273775717971163,9,6.6115702479338845,13.636363636363635
2023,IOL,OL,NSIC,76.0,304,9.75,78.75,5.2,29.0,20,109.0,7.77,4.75,0,14.599,74.563,0,0,Undrafted,1,0.5178146978877485,10,7.024793388429752,15.151515151515152
2024,C,OL,Big Ten,76.0,307,9.75,79.0,5.17,31.5,27,107.0,7.41,4.29,0,-3.512,38.745,0,0,Rounds 6-7,0,0.5120032802313154,10,7.43801652892562,15.151515151515152
2025,IOL,OL,Big Ten,77.75,309,10.0,77.125,5.45,28.5,33,110.0,7.78,4.63,1,11.144,70.238,0,0,Rounds 6-7,0,0.5114169274731662,10,7.851239669421488,15.151515151515152
2025,WR,Skill,SEC,75.0,200,9.5,78.375,4.56,31.0,17,117.0,6.84,4.03,1,12.197,68.028,0,0,Undrafted,1,0.5098503931745275,11,8.264462809917356,16.666666666666664
2025,CB,Secondary,MAC,73.25,190,9.0,75.5,4.43,26.41,16,124.0,6.65,4.03,1,-10.952,37.661,0,0,Rounds 6-7,0,0.5074776083761257,11,8.677685950413224,16.666666666666664
