Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual,Predicted Probability
2025,RB,Skill,Texas,SEC,69.0,196,8.25,29.75,75.5,4.38,33.8,33,125.3,6.65,4.97,1,2042,26.107,88.25,73.85,92.32,35.538,0,0,1,0.6713425174951728
2024,OT,OL,Alabama,SEC,77.75,342,11.0,35.125,84.375,5.29,27.5,31,106.0,7.85,4.49,0,2032,24.925,84.968,76.211,80.844,61.941,0,0,1,0.7347438688692678
2023,QB,Skill,Houston,AAC,74.5,220,9.375,31.375,75.625,4.64,37.5,20,122.0,6.89,4.25,1,1619,4.061,51.527,62.603,38.496,54.875,0,0,1,0.4228181726377445
2025,CB,Secondary,Notre Dame,FBS Independent,72.25,193,9.25,30.375,75.875,4.33,24.71,13,121.3,8.19,4.97,0,2154,25.305,88.314,78.053,88.226,42.499,0,1,1,0.6696429014874157
2023,C,OL,Penn St.,Big Ten,75.25,301,10.25,33.25,81.75,5.22,32.0,20,102.0,7.75,4.82,1,2000,19.477,82.964,71.335,83.462,50.595,0,0,1,0.5715572000229541
2025,IOL,OL,Sacramento State,Big Sky,75.0,311,10.0,32.0,78.5,5.01,28.5,31,108.0,6.65,4.97,1,1729,11.13,67.904,65.072,62.92,55.72,0,0,1,0.45752222513236834
2024,IOL,OL,Connecticut,FBS Independent,74.75,317,9.0,33.5,79.75,5.03,33.0,28,102.0,7.9,4.71,1,1096,-15.874,25.161,23.464,35.941,48.435,0,0,1,0.37261721084991717
2024,S,Secondary,Oregon St.,Pac-12,74.0,216,9.25,32.375,79.25,4.58,36.0,15,117.0,6.83,4.15,1,1722,13.996,79.392,79.074,67.781,54.727,0,0,1,0.568259980184447
2025,CB,Secondary,Ohio State,Big Ten,72.125,195,8.5,30.625,76.125,4.42,29.5,24,121.7,6.65,4.03,0,2211,24.823,87.333,80.443,83.601,49.523,1,0,1,0.717852887520897
2023,CB,Secondary,Texas A&M,SEC,74.0,198,9.75,32.125,77.875,4.52,31.0,8,118.0,7.16,4.35,1,1629,7.2,58.223,43.007,65.719,58.545,0,0,1,0.4972525955890856
