Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),3-Cone (seconds),Combine Participation,ELO,Efficiencies Overall,CFP Appearance,National Award,Actual,Predicted Probability
2025,RB,Skill,Texas,SEC,69.0,196,8.25,29.75,4.38,33.8,33,6.65,1,2042,88.25,0,0,1,0.6650777665080664
2024,OT,OL,Alabama,SEC,77.75,342,11.0,35.125,5.29,27.5,31,7.85,0,2032,84.968,0,0,1,0.6776360584906737
2023,QB,Skill,Houston,AAC,74.5,220,9.375,31.375,4.64,37.5,20,6.89,1,1619,51.527,0,0,1,0.4274734024139278
2025,CB,Secondary,Notre Dame,FBS Independent,72.25,193,9.25,30.375,4.33,24.71,13,8.19,0,2154,88.314,0,1,1,0.6899368164570001
2023,C,OL,Penn St.,Big Ten,75.25,301,10.25,33.25,5.22,32.0,20,7.75,1,2000,82.964,0,0,1,0.5705962227417196
2025,IOL,OL,Sacramento State,Big Sky,75.0,311,10.0,32.0,5.01,28.5,31,6.65,1,1729,67.904,0,0,1,0.48491321492899236
2024,IOL,OL,Connecticut,FBS Independent,74.75,317,9.0,33.5,5.03,33.0,28,7.9,1,1096,25.161,0,0,1,0.42364650013932004
2024,S,Secondary,Oregon St.,Pac-12,74.0,216,9.25,32.375,4.58,36.0,15,6.83,1,1722,79.392,0,0,1,0.5026632271829147
2025,CB,Secondary,Ohio State,Big Ten,72.125,195,8.5,30.625,4.42,29.5,24,6.65,0,2211,87.333,1,0,1,0.6910432307295018
2023,CB,Secondary,Texas A&M,SEC,74.0,198,9.75,32.125,4.52,31.0,8,7.16,1,1629,58.223,0,0,1,0.47644717929371905
2025,WR,Skill,Colorado,Big 12,69.625,163,8.5,29.625,4.46,32.0,13,6.65,1,1701,74.938,0,0,1,0.6153183087166292
2024,OT,OL,Washington,Pac-12,77.375,308,9.625,33.5,4.92,30.0,28,7.92,1,1879,82.666,0,0,1,0.6299015614407146
2024,IOL,OL,Tulane,AAC,76.5,322,9.125,32.875,5.34,30.0,28,7.82,1,1598,60.759,0,0,0,0.3616070522218943
2025,RB,Skill,Syracuse,ACC,72.125,204,10.125,32.0,4.65,35.0,33,7.25,1,1499,59.911,0,0,1,0.47481549294691094
2025,WR,Skill,Florida,SEC,72.625,196,9.125,32.125,4.34,38.5,23,6.82,1,1767,71.717,0,0,1,0.6004347630134914
2025,C,OL,Ohio State,Big Ten,76.0,304,9.5,31.0,4.84,32.0,33,7.56,0,2211,87.333,1,0,0,0.7592753566666486
2024,WR,Skill,Georgia,SEC,71.625,186,8.625,30.25,4.39,36.0,13,6.89,1,2273,87.417,1,1,1,0.6409034747709252
2024,LB,LB,Florida St.,ACC,71.5,210,8.625,31.5,4.47,30.5,18,6.68,1,1789,83.68,0,0,0,0.6042335810581296
2025,IOL,OL,Texas,SEC,78.0,314,9.5,33.25,4.28,43.0,11,7.9,1,2042,88.25,0,0,1,0.7064648071415897
2024,WR,Skill,Michigan,Big Ten,74.75,212,8.625,31.875,4.44,37.5,15,6.85,1,2210,94.395,0,0,1,0.6280270023841044
2023,OT,OL,North Dakota St.,MVFC,77.0,302,9.75,32.375,5.08,29.0,20,7.33,1,1776,70.241,0,0,1,0.5008095590226853
